GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	nt_length	aa_length
ENSMMUG00000009096.2	ENSMMUG00000009096.2	ENSMMUT00000069311.1	protein_coding	0	5	4	161	0	0	0	45	0	91	4	0	0	0	1	0	0	0	0	4	26	9468	517
ENSMMUG00000009096.2	ENSMMUG00000009096.2	ENSMMUT00000071219.1	protein_coding	0	6	2	220	0	0	1	43	0	153	2	0	0	0	2	0	0	0	0	4	25	16763	557
ENSMMUG00000009096.2	ENSMMUG00000009096.2	ENSMMUT00000073736.1	protein_coding	0	8	3	171	0	0	0	43	0	105	3	0	0	0	3	0	0	0	0	5	26	11737	588
ENSMMUG00000023569.3	ENSMMUG00000023569.3	ENSMMUT00000033151.3	protein_coding	0	2	1	108	2	0	0	23	0	51	1	0	0	0	1	0	0	0	0	1	33	3996	179
ENSMMUG00000000009.3	ENSMMUG00000000009.3	ENSMMUT00000000014.3	protein_coding	0	36	69	1269	0	0	0	72	0	1163	69	0	0	0	6	0	0	0	0	32	38	121260	1264
ENSMMUG00000000009.3	ENSMMUG00000000009.3	ENSMMUT00000000016.2	protein_coding	0	29	64	1281	0	0	0	72	0	1174	64	0	0	0	5	0	0	0	0	26	38	121260	1104
ENSMMUG00000000009.3	ENSMMUG00000000009.3	ENSMMUT00000062490.1	protein_coding	0	0	1	707	0	0	0	59	0	610	1	0	0	0	0	0	0	0	0	0	38	56896	78
ENSMMUG00000000009.3	ENSMMUG00000000009.3	ENSMMUT00000068231.1	protein_coding	0	14	62	1012	0	0	0	5	0	971	62	0	0	0	4	0	0	0	0	12	38	100204	728
ENSMMUG00000000009.3	ENSMMUG00000000009.3	ENSMMUT00000070243.1	protein_coding	0	36	73	1268	0	1	14	72	0	1161	73	0	0	0	6	0	0	0	0	32	24	122305	1263
ENSMMUG00000000245.3	ENSMMUG00000000245.3	ENSMMUT00000000360.3	protein_coding	0	56	85	412	0	0	0	32	0	362	85	0	0	0	7	0	0	0	0	49	25	62019	3468
ENSMMUG00000000245.3	ENSMMUG00000000245.3	ENSMMUT00000000361.3	protein_coding	0	56	85	412	0	0	0	32	0	362	85	0	0	0	7	0	0	0	0	49	25	62019	3477
ENSMMUG00000000245.3	ENSMMUG00000000245.3	ENSMMUT00000000363.3	protein_coding	0	36	38	479	0	0	0	32	0	429	38	0	0	0	7	0	0	0	0	29	25	62019	1892
ENSMMUG00000000245.3	ENSMMUG00000000245.3	ENSMMUT00000044978.2	protein_coding	0	56	78	422	0	3	9	32	0	324	78	0	0	0	6	0	0	0	0	47	63	59749	3312
ENSMMUG00000000245.3	ENSMMUG00000000245.3	ENSMMUT00000065921.1	protein_coding	1	28	44	469	0	0	0	27	0	420	44	0	0	0	4	0	0	1	0	25	25	58112	1388
ENSMMUG00000008761.3	ENSMMUG00000008761.3	ENSMMUT00000044470.2	protein_coding	0	10	1	217	0	0	0	80	0	57	1	0	0	0	0	0	0	0	0	10	80	6751	169
ENSMMUG00000008761.3	ENSMMUG00000008761.3	ENSMMUT00000044472.2	protein_coding	0	33	28	478	12	0	12	16	0	374	28	0	0	0	0	0	0	0	0	33	64	43559	847
ENSMMUG00000019994.3	ENSMMUG00000019994.3	ENSMMUT00000028100.3	protein_coding	0	18	9	2475	6	3	25	49	0	2346	9	0	0	0	2	0	0	0	0	13	51	250322	600
ENSMMUG00000019994.3	ENSMMUG00000019994.3	ENSMMUT00000028101.3	protein_coding	0	18	11	2311	0	0	0	63	0	2179	11	0	0	0	4	0	0	0	0	15	72	239247	721
ENSMMUG00000019994.3	ENSMMUG00000019994.3	ENSMMUT00000054448.1	protein_coding	0	15	7	395	0	0	0	24	0	311	7	0	0	0	2	0	0	0	0	13	62	58519	341
ENSMMUG00000019994.3	ENSMMUG00000019994.3	ENSMMUT00000057388.1	protein_coding	0	16	10	2015	0	0	0	63	0	1934	10	0	0	0	4	0	0	0	0	13	21	211818	534
ENSMMUG00000019994.3	ENSMMUG00000019994.3	ENSMMUT00000069525.1	protein_coding	1	18	17	2441	61	0	0	86	0	2224	17	0	0	0	2	0	1	0	0	16	72	246205	838
ENSMMUG00000019994.3	ENSMMUG00000019994.3	ENSMMUT00000072714.1	protein_coding	0	14	8	2177	0	0	0	55	0	2101	8	0	0	0	2	0	0	0	0	12	23	221295	415
ENSMMUG00000016244.2	ENSMMUG00000016244.2	ENSMMUT00000022824.2	protein_coding	0	8	2	419	25	0	0	72	0	222	2	0	0	0	1	0	0	0	0	7	101	14771	282
ENSMMUG00000016244.2	ENSMMUG00000016244.2	ENSMMUT00000053624.1	protein_coding	0	7	0	432	0	0	0	77	0	294	0	0	0	0	1	0	0	0	0	6	62	16296	217
ENSMMUG00000016244.2	ENSMMUG00000016244.2	ENSMMUT00000070446.1	protein_coding	0	11	1	428	0	1	9	77	0	290	1	0	0	0	1	0	0	0	0	9	53	17041	292
ENSMMUG00000016244.2	ENSMMUG00000016244.2	ENSMMUT00000072592.1	protein_coding	0	5	1	431	0	0	0	76	0	293	1	0	0	0	0	0	0	0	0	5	62	16156	170
ENSMMUG00000000688.3	ENSMMUG00000000688.3	ENSMMUT00000000987.3	protein_coding	0	23	23	1147	5	2	12	113	0	933	23	0	0	0	3	0	0	0	0	18	86	106604	570
ENSMMUG00000000688.3	ENSMMUG00000000688.3	ENSMMUT00000000989.3	protein_coding	0	20	23	1138	0	0	0	116	0	933	23	0	0	0	2	0	0	0	0	18	91	106223	588
ENSMMUG00000013448.3	ENSMMUG00000013448.3	ENSMMUT00000018871.3	protein_coding	0	36	21	863	0	0	0	99	0	738	21	0	0	0	4	0	0	0	0	34	28	136639	1854
ENSMMUG00000013448.3	ENSMMUG00000013448.3	ENSMMUT00000018878.3	protein_coding	0	11	5	549	0	3	33	65	0	414	5	0	0	0	3	0	0	0	0	5	39	78074	470
ENSMMUG00000014818.3	ENSMMUG00000014818.3	ENSMMUT00000020797.3	protein_coding	0	46	26	2171	0	0	0	52	0	2077	26	0	0	0	8	0	0	0	0	40	48	178920	1911
ENSMMUG00000014818.3	ENSMMUG00000014818.3	ENSMMUT00000020798.3	protein_coding	0	46	26	2171	0	0	0	52	0	2077	26	0	0	0	8	0	0	0	0	40	48	178920	1900
ENSMMUG00000014818.3	ENSMMUG00000014818.3	ENSMMUT00000020799.3	protein_coding	0	43	24	2176	0	0	0	52	0	2081	24	0	0	0	7	0	0	0	0	38	48	178920	1846
ENSMMUG00000014818.3	ENSMMUG00000014818.3	ENSMMUT00000020800.3	protein_coding	0	43	25	2175	0	0	0	52	0	2080	25	0	0	0	7	0	0	0	0	38	48	178920	1864
ENSMMUG00000014818.3	ENSMMUG00000014818.3	ENSMMUT00000046835.2	protein_coding	0	44	26	2178	25	0	0	32	0	2126	26	0	0	0	7	0	0	0	0	39	0	187061	1915
ENSMMUG00000014818.3	ENSMMUG00000014818.3	ENSMMUT00000046837.2	protein_coding	0	42	26	2147	0	0	0	40	0	2064	26	0	0	0	7	0	0	0	0	37	48	175477	1845
ENSMMUG00000014818.3	ENSMMUG00000014818.3	ENSMMUT00000076136.1	protein_coding	0	9	4	543	0	0	0	58	0	436	4	0	0	0	1	0	0	0	0	8	50	33329	358
ENSMMUG00000007450.3	ENSMMUG00000007450.3	ENSMMUT00000010416.3	protein_coding	0	12	1	504	13	0	6	40	0	439	1	0	0	0	3	0	0	0	0	9	9	85433	649
ENSMMUG00000007450.3	ENSMMUG00000007450.3	ENSMMUT00000072482.1	protein_coding	0	11	2	338	0	0	0	53	0	269	2	0	0	0	2	0	0	0	0	9	18	34628	669
ENSMMUG00000007450.3	ENSMMUG00000007450.3	ENSMMUT00000078752.1	protein_coding	0	10	0	313	0	0	0	53	0	229	0	0	0	0	2	0	0	0	0	8	33	27660	528
ENSMMUG00000003353.3	ENSMMUG00000003353.3	ENSMMUT00000004738.3	protein_coding	0	22	17	163	0	0	0	34	0	90	17	0	0	0	1	0	0	0	0	21	40	16589	1294
ENSMMUG00000003353.3	ENSMMUG00000003353.3	ENSMMUT00000004739.3	protein_coding	0	28	17	171	1	2	10	37	0	86	17	0	0	0	1	0	0	0	0	25	38	17674	1351
ENSMMUG00000003353.3	ENSMMUG00000003353.3	ENSMMUT00000071891.1	protein_coding	0	27	17	179	19	1	5	34	0	86	17	0	0	0	1	0	0	0	0	25	36	18780	1360
ENSMMUG00000003353.3	ENSMMUG00000003353.3	ENSMMUT00000075730.1	protein_coding	0	6	4	192	0	0	0	34	0	118	4	0	0	0	0	0	0	0	0	6	40	16589	265
ENSMMUG00000003353.3	ENSMMUG00000003353.3	ENSMMUT00000077014.1	protein_coding	0	21	13	112	0	0	0	10	0	64	13	0	0	0	2	0	0	0	0	19	40	8291	1020
ENSMMUG00000003353.3	ENSMMUG00000003353.3	ENSMMUT00000077761.1	protein_coding	0	8	8	186	0	0	0	34	0	112	8	0	0	0	1	0	0	0	0	8	40	16589	581
ENSMMUG00000016480.3	ENSMMUG00000016480.3	ENSMMUT00000023149.3	protein_coding	0	8	0	109	0	0	0	46	0	25	0	0	0	0	3	0	0	0	0	6	40	3070	474
ENSMMUG00000016480.3	ENSMMUG00000016480.3	ENSMMUT00000023155.3	protein_coding	0	9	0	108	0	0	0	46	0	25	0	0	0	0	4	0	0	0	0	6	40	2921	384
ENSMMUG00000016480.3	ENSMMUG00000016480.3	ENSMMUT00000023156.3	protein_coding	0	11	0	215	35	0	1	11	0	106	0	0	0	0	6	0	0	0	0	6	66	13469	471
ENSMMUG00000016480.3	ENSMMUG00000016480.3	ENSMMUT00000059598.1	protein_coding	0	9	2	106	0	0	0	46	0	23	2	0	0	0	4	0	0	0	0	6	40	3070	427
ENSMMUG00000016480.3	ENSMMUG00000016480.3	ENSMMUT00000070808.1	protein_coding	0	2	0	109	0	0	0	52	0	18	0	0	0	0	1	0	0	0	0	1	40	1444	123
ENSMMUG00000014045.3	ENSMMUG00000014045.3	ENSMMUT00000019713.3	protein_coding	0	46	24	368	1	0	1	85	0	255	24	0	0	0	7	0	0	0	0	39	33	33975	1633
ENSMMUG00000015127.3	ENSMMUG00000015127.3	ENSMMUT00000021199.3	protein_coding	0	24	36	542	0	0	0	14	0	491	36	0	0	0	1	0	0	0	0	24	37	93921	1687
ENSMMUG00000015127.3	ENSMMUG00000015127.3	ENSMMUT00000060635.1	protein_coding	0	24	36	542	0	0	0	14	0	491	36	0	0	0	1	0	0	0	0	24	37	93921	1691
ENSMMUG00000022962.3	ENSMMUG00000022962.3	ENSMMUT00000032322.3	protein_coding	0	7	5	86	0	3	5	26	0	12	5	0	0	0	0	0	0	0	0	4	43	4334	356
ENSMMUG00000022962.3	ENSMMUG00000022962.3	ENSMMUT00000065168.1	protein_coding	0	2	3	55	0	0	0	29	0	1	3	0	0	0	0	0	0	0	0	2	25	529	121
ENSMMUG00000020138.3	ENSMMUG00000020138.3	ENSMMUT00000028337.3	protein_coding	0	8	0	396	21	0	2	60	0	296	0	0	0	0	2	0	0	0	0	7	18	46515	678
ENSMMUG00000020138.3	ENSMMUG00000020138.3	ENSMMUT00000028339.3	protein_coding	0	9	1	370	0	0	0	57	0	294	1	0	0	0	2	0	0	0	0	8	20	44530	664
ENSMMUG00000020138.3	ENSMMUG00000020138.3	ENSMMUT00000075521.1	protein_coding	0	1	0	143	0	0	0	39	0	84	0	0	0	0	0	0	0	0	0	1	20	16338	129
ENSMMUG00000005188.3	ENSMMUG00000005188.3	ENSMMUT00000007307.3	protein_coding	0	6	0	722	17	0	1	42	0	629	0	0	0	0	5	0	0	0	0	1	38	86877	21
ENSMMUG00000005188.3	ENSMMUG00000005188.3	ENSMMUT00000063241.1	protein_coding	0	21	0	312	0	0	1	42	0	233	0	0	0	0	5	0	0	0	0	16	41	36479	1069
ENSMMUG00000003263.3	ENSMMUG00000003263.3	ENSMMUT00000008167.3	protein_coding	0	11	2	1308	0	0	0	52	0	1257	2	0	0	0	1	0	0	0	0	10	0	280167	1222
ENSMMUG00000003263.3	ENSMMUG00000003263.3	ENSMMUT00000045470.2	protein_coding	0	2	1	572	0	0	0	15	0	558	1	0	0	0	1	0	0	0	0	1	0	108364	233
ENSMMUG00000003263.3	ENSMMUG00000003263.3	ENSMMUT00000060856.1	protein_coding	0	10	2	1254	0	0	0	29	0	1202	2	0	0	0	1	0	0	0	0	9	24	270589	1235
ENSMMUG00000003263.3	ENSMMUG00000003263.3	ENSMMUT00000071115.1	protein_coding	0	11	2	1308	0	0	0	52	0	1257	2	0	0	0	1	0	0	0	0	10	0	280251	1259
ENSMMUG00000003263.3	ENSMMUG00000003263.3	ENSMMUT00000075867.1	protein_coding	0	7	1	1258	0	0	0	29	0	1206	1	0	0	0	1	0	0	0	0	6	24	270589	1099
ENSMMUG00000003263.3	ENSMMUG00000003263.3	ENSMMUT00000076196.1	protein_coding	0	1	1	378	0	0	0	14	0	364	1	0	0	0	0	0	0	0	0	1	0	57544	143
ENSMMUG00000003263.3	ENSMMUG00000003263.3	ENSMMUT00000077605.1	protein_coding	0	8	1	735	0	0	0	52	0	650	1	0	0	0	0	0	0	0	0	8	33	155996	999
ENSMMUG00000003773.3	ENSMMUG00000003773.3	ENSMMUT00000020765.3	protein_coding	1	7	0	95	0	3	10	21	0	27	0	0	0	0	1	1	0	0	0	3	38	5170	168
ENSMMUG00000003773.3	ENSMMUG00000003773.3	ENSMMUT00000063881.1	protein_coding	0	3	1	80	0	0	0	21	0	3	1	0	0	0	0	0	0	0	0	3	56	1160	129
ENSMMUG00000012914.3	ENSMMUG00000012914.3	ENSMMUT00000018114.3	protein_coding	0	110	105	1747	0	0	0	13	0	1702	105	0	0	0	12	0	0	0	0	101	41	120121	3320
ENSMMUG00000004168.3	ENSMMUG00000004168.3	ENSMMUT00000005921.3	protein_coding	0	33	17	517	7	4	19	60	0	321	17	0	0	0	7	0	0	0	0	24	114	13312	543
ENSMMUG00000009865.3	ENSMMUG00000009865.3	ENSMMUT00000007133.3	protein_coding	0	36	37	1337	0	3	17	157	0	970	37	0	0	0	9	0	0	0	0	27	199	102049	759
ENSMMUG00000009865.3	ENSMMUG00000009865.3	ENSMMUT00000013784.3	protein_coding	0	31	36	1340	0	0	0	157	0	971	36	0	0	0	7	0	0	0	0	27	216	101837	744
ENSMMUG00000009865.3	ENSMMUG00000009865.3	ENSMMUT00000059912.1	protein_coding	0	3	5	126	0	0	0	1	0	44	5	0	0	0	1	0	0	0	0	3	81	3403	82
ENSMMUG00000012720.3	ENSMMUG00000012720.3	ENSMMUT00000017833.3	protein_coding	0	5	7	135	0	0	0	52	0	63	7	0	0	0	0	0	0	0	0	5	20	16859	480
ENSMMUG00000012720.3	ENSMMUG00000012720.3	ENSMMUT00000017834.3	protein_coding	1	0	1	114	0	0	0	56	0	52	1	0	0	0	0	0	1	0	0	0	6	9569	249
ENSMMUG00000012720.3	ENSMMUG00000012720.3	ENSMMUT00000017836.3	protein_coding	1	3	6	156	0	0	0	56	0	79	6	0	0	0	0	0	1	0	0	3	21	20120	527
ENSMMUG00000012720.3	ENSMMUG00000012720.3	ENSMMUT00000042441.2	protein_coding	0	8	9	149	25	0	1	27	0	88	9	0	0	0	0	0	0	0	0	8	8	26763	650
ENSMMUG00000040774.1	ENSMMUG00000040774.1	ENSMMUT00000067367.1	protein_coding	0	2	1	135	0	0	0	78	0	2	1	0	0	0	0	0	0	0	0	2	55	703	102
ENSMMUG00000006186.3	ENSMMUG00000006186.3	ENSMMUT00000008657.3	protein_coding	0	8	1	345	0	0	0	70	0	202	1	0	0	0	4	0	0	0	0	5	76	12056	430
ENSMMUG00000006186.3	ENSMMUG00000006186.3	ENSMMUT00000057076.1	protein_coding	0	6	0	466	0	0	0	69	0	274	0	0	0	0	3	0	0	0	0	3	126	16314	329
ENSMMUG00000006186.3	ENSMMUG00000006186.3	ENSMMUT00000061749.1	protein_coding	0	7	0	411	18	0	4	71	0	234	0	0	0	0	3	0	0	0	0	4	87	15641	432
ENSMMUG00000006186.3	ENSMMUG00000006186.3	ENSMMUT00000064672.1	protein_coding	0	7	0	485	18	0	1	71	0	393	0	0	0	0	3	0	0	0	0	4	5	22801	434
ENSMMUG00000006186.3	ENSMMUG00000006186.3	ENSMMUT00000066083.1	protein_coding	0	2	0	411	0	0	0	92	0	194	0	0	0	0	1	0	0	0	0	1	126	12443	136
ENSMMUG00000006186.3	ENSMMUG00000006186.3	ENSMMUT00000066741.1	protein_coding	0	4	2	202	0	0	0	69	0	41	2	0	0	0	1	0	0	0	0	3	93	2793	173
ENSMMUG00000006186.3	ENSMMUG00000006186.3	ENSMMUT00000070579.1	protein_coding	0	7	0	485	18	0	0	71	0	273	0	0	0	0	3	0	0	0	0	4	126	18498	440
ENSMMUG00000006186.3	ENSMMUG00000006186.3	ENSMMUT00000074293.1	protein_coding	0	5	0	425	0	0	0	86	0	215	0	0	0	0	2	0	0	0	0	3	126	13691	309
ENSMMUG00000023733.3	ENSMMUG00000023733.3	ENSMMUT00000033400.2	protein_coding	0	3	4	103	0	0	0	37	0	50	4	0	0	0	1	0	0	0	0	2	17	6791	261
ENSMMUG00000023733.3	ENSMMUG00000023733.3	ENSMMUT00000033401.2	protein_coding	0	5	4	101	0	0	0	37	0	49	4	0	0	0	2	0	0	0	0	3	17	6791	243
ENSMMUG00000023733.3	ENSMMUG00000023733.3	ENSMMUT00000033403.2	protein_coding	0	3	4	103	0	0	0	37	0	50	4	0	0	0	1	0	0	0	0	2	17	6791	169
ENSMMUG00000023733.3	ENSMMUG00000023733.3	ENSMMUT00000033407.3	protein_coding	0	4	4	102	0	0	0	29	0	57	4	0	0	0	1	0	0	0	0	3	17	6977	338
ENSMMUG00000023733.3	ENSMMUG00000023733.3	ENSMMUT00000033408.3	protein_coding	0	2	2	106	0	0	0	37	0	53	2	0	0	0	1	0	0	0	0	1	17	6791	77
ENSMMUG00000023733.3	ENSMMUG00000023733.3	ENSMMUT00000041296.2	protein_coding	0	5	6	99	0	0	0	37	0	47	6	0	0	0	3	0	0	0	0	3	17	6791	346
ENSMMUG00000023733.3	ENSMMUG00000023733.3	ENSMMUT00000072973.1	protein_coding	0	7	4	178	29	2	6	77	0	57	4	0	0	0	2	0	0	0	0	3	11	12176	349
ENSMMUG00000007228.3	ENSMMUG00000007228.3	ENSMMUT00000010102.3	protein_coding	0	18	15	157	3	10	36	30	0	63	15	0	0	0	2	0	0	0	0	7	26	21948	810
ENSMMUG00000000755.3	ENSMMUG00000000755.3	ENSMMUT00000001087.3	protein_coding	3	33	20	585	40	3	20	216	0	79	20	0	0	1	8	0	2	0	0	23	238	6098	415
ENSMMUG00000000755.3	ENSMMUG00000000755.3	ENSMMUT00000001089.3	protein_coding	2	32	21	446	0	0	0	243	0	53	21	0	0	0	7	0	2	0	0	26	156	2719	466
ENSMMUG00000000755.3	ENSMMUG00000000755.3	ENSMMUT00000072439.1	protein_coding	1	8	7	429	0	0	0	254	0	20	7	0	0	0	2	0	1	0	0	7	156	1009	186
ENSMMUG00000011301.3	ENSMMUG00000011301.3	ENSMMUT00000032003.3	protein_coding	0	21	14	569	90	8	55	171	0	89	14	0	0	0	1	0	0	0	0	13	164	6167	277
ENSMMUG00000019529.3	ENSMMUG00000019529.3	ENSMMUT00000027435.3	protein_coding	0	2	0	196	8	0	0	63	0	82	0	0	0	0	2	0	0	0	0	0	44	5734	97
ENSMMUG00000041338.1	ENSMMUG00000041338.1	ENSMMUT00000027519.3	protein_coding	1	9	37	1700	0	0	0	66	0	1565	37	0	0	0	3	0	1	0	0	6	72	170677	618
ENSMMUG00000041338.1	ENSMMUG00000041338.1	ENSMMUT00000063301.1	protein_coding	2	69	135	18395	0	0	0	57	0	18278	135	0	0	1	12	0	1	0	0	58	72	1863912	3166
ENSMMUG00000041338.1	ENSMMUG00000041338.1	ENSMMUT00000074281.1	protein_coding	2	69	135	18395	0	0	0	57	0	18278	135	0	0	1	12	0	1	0	0	58	72	1863912	3145
ENSMMUG00000005298.3	ENSMMUG00000005298.3	ENSMMUT00000007452.3	protein_coding	1	31	27	383	22	0	2	4	0	346	27	0	1	0	4	0	0	0	0	28	13	48966	1010
ENSMMUG00000017977.3	ENSMMUG00000017977.3	ENSMMUT00000025259.3	protein_coding	0	25	16	2929	36	1	2	69	0	2762	16	0	0	0	3	0	0	0	0	23	61	288763	1206
ENSMMUG00000017977.3	ENSMMUG00000017977.3	ENSMMUT00000062026.1	protein_coding	0	11	4	528	0	0	0	94	0	374	4	0	0	0	1	0	0	0	0	11	60	29098	494
ENSMMUG00000003739.3	ENSMMUG00000003739.3	ENSMMUT00000005293.3	protein_coding	1	18	18	1108	0	0	0	41	0	950	18	0	0	0	7	0	0	1	0	16	119	111372	845
ENSMMUG00000003739.3	ENSMMUG00000003739.3	ENSMMUT00000054639.1	protein_coding	0	17	17	1116	0	0	0	57	0	1056	17	0	0	0	6	0	0	0	0	15	5	133118	871
ENSMMUG00000003739.3	ENSMMUG00000003739.3	ENSMMUT00000064947.1	protein_coding	0	14	15	1121	0	0	0	57	0	1061	15	0	0	0	6	0	0	0	0	12	5	133118	766
ENSMMUG00000003739.3	ENSMMUG00000003739.3	ENSMMUT00000067001.1	protein_coding	0	16	15	1119	0	0	0	57	0	1059	15	0	0	0	6	0	0	0	0	14	5	133118	814
ENSMMUG00000039441.1	ENSMMUG00000039441.1	ENSMMUT00000057185.1	protein_coding	0	5	0	155	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	5	72	1079	360
ENSMMUG00000015847.3	ENSMMUG00000015847.3	ENSMMUT00000022268.3	protein_coding	0	11	24	158	2	2	5	39	0	40	24	0	0	0	1	0	0	0	0	8	72	21679	785
ENSMMUG00000003789.3	ENSMMUG00000003789.3	ENSMMUT00000005362.3	protein_coding	0	31	10	1266	0	0	0	110	0	1095	10	0	0	0	6	0	0	0	0	25	67	43752	826
ENSMMUG00000003789.3	ENSMMUG00000003789.3	ENSMMUT00000077168.1	protein_coding	0	29	8	740	14	0	0	123	0	450	8	0	0	0	4	0	0	0	0	25	157	17106	705
ENSMMUG00000022166.3	ENSMMUG00000022166.3	ENSMMUT00000031177.3	protein_coding	0	56	75	718	0	0	0	12	0	653	75	0	0	0	8	0	0	0	0	50	59	160017	3185
ENSMMUG00000022166.3	ENSMMUG00000022166.3	ENSMMUT00000064914.1	protein_coding	0	59	77	716	0	2	5	12	0	660	77	0	0	0	8	0	0	0	0	51	45	162387	3267
ENSMMUG00000019998.3	ENSMMUG00000019998.3	ENSMMUT00000028105.3	protein_coding	0	7	11	341	0	0	0	43	0	253	11	0	0	0	3	0	0	0	0	6	46	42882	758
ENSMMUG00000019998.3	ENSMMUG00000019998.3	ENSMMUT00000028106.3	protein_coding	0	7	10	360	0	0	0	43	0	267	10	0	0	0	1	0	0	0	0	6	51	44645	731
ENSMMUG00000019998.3	ENSMMUG00000019998.3	ENSMMUT00000028107.3	protein_coding	0	10	12	381	0	2	8	44	0	293	12	0	0	0	4	0	0	0	0	6	37	47998	778
ENSMMUG00000019998.3	ENSMMUG00000019998.3	ENSMMUT00000071922.1	protein_coding	0	7	11	344	0	0	0	43	0	253	11	0	0	0	3	0	0	0	0	6	49	42931	767
ENSMMUG00000009396.3	ENSMMUG00000009396.3	ENSMMUT00000013123.3	protein_coding	1	19	4	398	0	0	0	56	0	305	4	0	0	0	3	0	1	0	0	16	40	52640	748
