scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
chr1,1434730,1464850,1450813,472,261,0.9167,11.0833,-0.8472,-0.1907,-0.1009
chr1,1456548,1474431,1465347,359,179,1.5,3.9583,-0.4504,-0.086,-0.0463
chr1,1524947,1565461,1543921,1231,711,4.5208,80.1042,-0.8932,-0.6602,-0.321
chr1,1558576,1595088,1576974,747,453,1.3333,31.625,-0.9191,-0.3395,-0.1911
chr1,1587187,1599865,1592845,210,121,0.2917,15.0,-0.9619,-0.661,-0.354
chr1,1623746,1642082,1631943,429,221,1.9583,22.9653,-0.8429,-0.4404,-0.2476
chr1,1658607,1671465,1666634,234,121,0.5764,5.2847,-0.8033,-0.2367,-0.1512
chr1,1662771,1717390,1686046,727,358,1.3889,24.3333,-0.892,-0.4294,-0.2393
chr1,1712952,1748403,1730797,568,296,2.7118,7.7604,-0.4821,-0.1299,-0.0795
chr1,1969132,1980668,1973767,288,176,2.9375,4.0347,-0.1574,-0.0417,-0.0298
chr1,2191028,2390468,2290038,4940,3086,64.0041,89.9763,-0.1687,-0.0618,-0.0392
chr1,2402036,2439703,2422375,867,509,4.6458,20.2569,-0.6269,-0.1546,-0.1114
chr1,2439363,2491727,2466931,1350,806,8.1412,26.8287,-0.5344,-0.1874,-0.123
chr1,2511525,2521621,2516899,210,131,0.3958,2.4375,-0.7206,-0.1258,-0.0798
chr1,2571814,2586106,2580338,206,130,0.3877,2.0683,-0.6843,-0.092,-0.0674
chr1,2574370,2607810,2591258,612,375,1.3981,10.6829,-0.7685,-0.1893,-0.1237
chr1,2600284,2699484,2657644,1961,1190,9.5064,44.305,-0.6467,-0.277,-0.1497
chr1,2695006,2705167,2699036,210,112,0.6042,5.6875,-0.8079,-0.5439,-0.2616
chr1,2719126,2748493,2735658,431,241,2.8958,16.1042,-0.6952,-0.2921,-0.1805
chr1,2748318,2772099,2756729,338,198,1.0972,17.6319,-0.8828,-0.8603,-0.3678
chr1,2749721,2760018,2758268,282,168,1.0556,16.5486,-0.8801,-0.8444,-0.3765
chr1,2774736,2832591,2806384,710,433,4.1354,9.691,-0.4018,-0.1098,-0.0675
chr1,2823492,2862182,2841695,409,232,1.8438,11.5729,-0.7252,-0.2294,-0.1294
chr1,2856896,2880055,2869477,364,228,1.8542,26.8403,-0.8708,-0.6692,-0.3091
chr1,4973298,5119365,5034894,2379,1450,15.0833,55.2778,-0.5713,-0.2055,-0.1281
chr1,5156636,5228863,5196469,1319,773,6.4132,15.2743,-0.4086,-0.0731,-0.0516
chr1,5219328,5302969,5261224,1195,715,3.9062,25.4896,-0.7342,-0.1581,-0.112
chr1,5301715,5331422,5313142,282,173,0.0,6.2083,-1.0,-0.2811,-0.1605
chr1,5333699,5357619,5347548,304,189,1.8472,3.6528,-0.3283,-0.0647,-0.0421
chr1,5349844,5373303,5359122,227,130,2.4722,2.2639,0.044,0.0077,0.0053
chr1,5372493,5383492,5379002,222,132,0.6979,2.3889,-0.5478,-0.0641,-0.0503
chr1,5393226,5538527,5448702,1999,1165,5.6343,53.4954,-0.8094,-0.3012,-0.1768
chr1,5547218,5563975,5559098,148,86,0.1667,14.25,-0.9769,-0.8372,-0.4032
chr1,5559372,5607484,5581556,629,370,1.2917,33.5,-0.9257,-0.4485,-0.2509
chr1,5598460,5613784,5607204,198,114,0.1667,12.3333,-0.9733,-0.5013,-0.2439
chr1,5603519,5649791,5626860,593,321,0.6458,26.9306,-0.9532,-0.4133,-0.2209
chr1,5664771,5704297,5683513,181,83,1.3333,2.6389,-0.3287,-0.0694,-0.0471
chr1,5678889,5688999,5694049,97,38,0.8333,1.3056,-0.2208,-0.056,-0.0335
chr1,5695174,5725359,5714410,219,118,1.4583,6.8194,-0.6477,-0.2618,-0.1662
chr1,5715802,5736317,5726698,343,201,0.7292,6.9167,-0.8093,-0.1915,-0.1342
chr1,5730475,5750344,5738635,260,145,0.25,6.3333,-0.9241,-0.1898,-0.1339
chr1,5751836,5769595,5760768,178,74,0.0,8.875,-1.0,-0.6954,-0.3536
chr1,5763068,5781021,5773364,222,112,0.2292,5.6389,-0.9219,-0.2733,-0.1748
chr1,5771098,5851132,5810817,754,425,3.6736,12.6111,-0.5488,-0.144,-0.0965
chr1,6371009,6381174,6378695,92,54,0.5127,0.2141,0.4108,0.0342,0.0242
chr1,6896850,6918816,6909974,278,183,0.0,13.5278,-1.0,-0.4933,-0.2883
chr1,6909561,6978338,6939141,599,402,0.5903,18.5069,-0.9382,-0.3009,-0.1893
chr1,6972274,6988746,6978412,179,115,0.2708,0.9375,-0.5517,-0.0387,-0.0278
chr1,7044591,7074527,7065116,128,71,0.75,7.25,-0.8125,-0.4876,-0.2681
chr1,7107105,7117208,7113145,83,57,0.125,5.1667,-0.9528,-1.2776,-0.3779
chr1,7126397,7145893,7137713,172,111,1.1458,7.4375,-0.733,-0.2933,-0.1686
chr1,7331861,7342025,7334886,76,44,0.0764,1.0069,-0.859,-0.2276,-0.1426
chr1,7441158,7451261,7448363,60,33,0.0,1.0833,-1.0,-0.2939,-0.1738
chr1,7466730,7502142,7485123,550,328,1.4236,18.8681,-0.8597,-0.3699,-0.2123
chr1,7476556,7486669,7489558,418,253,1.1042,17.5069,-0.8813,-0.4281,-0.2366
chr1,7500426,7970451,7706146,4182,2616,3.0,268.0764,-0.9779,-0.6156,-0.337
chr1,7654364,7664489,7800445,2534,1638,1.9375,187.8056,-0.9796,-0.7399,-0.3795
chr1,7936366,7946462,7956059,204,132,0.0417,12.4583,-0.9933,-0.5417,-0.3129
chr1,8098034,8148097,8119270,281,171,1.2118,3.1285,-0.4416,-0.0663,-0.0525
chr1,8142162,8152458,8142873,23,14,0.0,1.6667,-1.0,-0.7442,-0.3232
chr1,8167104,8201664,8184912,313,160,0.3819,6.7292,-0.8926,-0.2292,-0.1427
chr1,8199641,8244349,8219030,282,155,0.125,23.375,-0.9894,-0.9587,-0.4576
chr1,8246951,8257121,8251595,14,5,nan,nan,nan,nan,nan
chr1,8315927,8326036,8321473,107,71,0.6146,2.7951,-0.6395,-0.2675,-0.169
chr1,8406068,8439444,8426033,452,257,0.6667,6.0694,-0.8021,-0.1124,-0.0728
chr1,8521984,8546327,8533033,356,229,1.5208,16.5694,-0.8319,-0.3958,-0.2403
chr1,8698521,8756714,8731342,206,106,0.0,13.1667,-1.0,-0.7147,-0.3797
chr1,8824761,8910535,8878182,560,298,1.7986,12.1736,-0.7425,-0.2176,-0.1408
chr1,8902173,9099615,9004000,1724,1026,18.6146,23.6493,-0.1191,-0.031,-0.0199
chr1,9100878,9146521,9124793,137,76,0.0,4.875,-1.0,-0.2974,-0.2025
chr1,9141434,9151730,9145461,52,28,0.0833,2.7778,-0.9417,-0.5623,-0.3046
chr1,9170815,9193641,9186335,72,42,0.1667,0.0,1.0,0.0613,0.0462
chr1,9197583,9221480,9206539,49,25,0.5556,0.5,0.0526,0.0168,0.0086
chr1,9234776,9391058,9320919,763,437,10.2153,7.1806,0.1745,0.0348,0.0215
chr1,9363569,9373672,9378102,190,109,3.2292,0.0,1.0,0.114,0.0693
chr1,9437592,9627954,9545899,1436,779,2.3889,41.7361,-0.8917,-0.3319,-0.2012
chr1,9520528,9530821,9572417,987,541,1.2222,38.0694,-0.9378,-0.5376,-0.2757
chr1,9641057,9671489,9655452,262,151,3.7812,2.0174,0.3042,0.0709,0.0444
chr1,9668215,9700251,9684185,265,165,0.2986,8.9514,-0.9354,-0.396,-0.199
chr1,9699551,9721558,9711225,159,111,0.4757,2.559,-0.6865,-0.1318,-0.0944
chr1,9713994,9882731,9809351,1425,894,1.8194,73.3889,-0.9516,-0.5195,-0.2821
chr1,9858956,9869237,9872096,426,245,0.5,30.125,-0.9673,-0.9373,-0.4032
chr1,10191228,10228393,10205722,357,214,1.4792,5.7292,-0.5896,-0.1335,-0.0896
chr1,10243382,10253485,10250312,1,nan,nan,nan,nan,nan,nan
chr1,10257566,10280237,10271725,125,83,1.4722,3.6806,-0.4286,-0.2379,-0.1258
chr1,10273814,10319519,10296688,273,170,0.8333,10.3264,-0.8507,-0.4056,-0.2416
chr1,10320459,10336188,10328599,125,73,0.0,3.0,-1.0,-0.4492,-0.2619
chr1,10334288,10374382,10352078,256,167,0.1875,12.1042,-0.9695,-0.4101,-0.2598
chr1,10368742,10529253,10442511,1312,856,1.9375,59.0833,-0.9365,-0.4928,-0.2662
chr1,10446385,10461844,10481952,587,368,1.2708,26.0139,-0.9068,-0.4383,-0.2493
chr1,10484537,10494644,10505958,274,179,1.25,10.5139,-0.7875,-0.3373,-0.2062
chr1,10533248,10565729,10553389,176,106,0.0417,9.5556,-0.9913,-0.71,-0.3554
chr1,10903208,10915544,10909218,142,68,0.7917,1.0,-0.1163,-0.0229,-0.0139
chr1,10909500,10928293,10918003,139,73,1.1667,2.8333,-0.4167,-0.1401,-0.073
chr1,10924780,10941004,10935727,151,88,0.375,1.1528,-0.5091,-0.0618,-0.0442
chr1,10931908,10947201,10938584,203,115,0.375,1.9028,-0.6707,-0.1005,-0.0706
chr1,10991747,11017282,11005995,235,134,1.7951,4.3507,-0.4158,-0.1414,-0.0954
chr1,11018794,11057843,11043108,422,253,3.1042,6.6597,-0.3642,-0.1361,-0.0842
chr1,11048306,11074709,11059697,413,270,5.0868,8.9618,-0.2758,-0.162,-0.0958
chr1,11064935,11114777,11093907,586,373,1.7292,17.4097,-0.8193,-0.2809,-0.1621
chr1,11105004,11115181,11109932,201,126,1.25,4.2083,-0.542,-0.1373,-0.0844
chr1,11106747,11116897,11111425,201,126,1.25,2.2083,-0.2771,-0.038,-0.0261
chr1,11106920,11119924,11111619,206,130,1.25,2.2083,-0.2771,-0.0365,-0.0249
chr1,11108364,11118472,11112364,172,108,1.0,2.2083,-0.3766,-0.0582,-0.0389
chr1,11120338,11131510,11125989,117,82,0.8194,0.25,0.5325,0.0382,0.0294
chr1,11175975,11186094,11181033,33,10,0.0,0.3333,-1.0,-0.4165,-0.2362
chr1,11177608,11187756,11181342,35,10,0.0,0.3333,-1.0,-0.4165,-0.2362
chr1,11190246,11204413,11197117,115,56,0.5625,2.3958,-0.6197,-0.1597,-0.123
chr1,11203013,11264019,11235680,427,227,1.3403,6.5069,-0.6584,-0.183,-0.1122
chr1,11261257,11300462,11280711,326,192,2.7917,8.3333,-0.4981,-0.2369,-0.1349
chr1,11300745,11325178,11314819,186,129,0.2083,0.9653,-0.645,-0.0608,-0.0328
chr1,11305705,11315814,11316610,161,113,0.2083,0.8542,-0.6078,-0.0556,-0.0305
chr1,11350646,11444234,11404826,643,379,2.3102,14.6019,-0.7268,-0.2834,-0.1706
chr1,11365039,11375143,11415533,528,316,1.9352,11.4769,-0.7114,-0.2621,-0.1648
chr1,11458896,11510944,11481395,513,292,1.2755,9.206,-0.7566,-0.1958,-0.1327
chr1,11513479,11523605,11516014,23,10,0.0,0.0,nan,0.0,0.0
chr1,11520827,11811843,11679964,2640,1520,20.3194,59.2083,-0.489,-0.1074,-0.066
chr1,11800085,11810251,11805953,156,86,0.3611,2.3333,-0.732,-0.0777,-0.0618
chr1,11856788,11924953,11893216,618,317,2.1458,10.2847,-0.6547,-0.1408,-0.0959
chr1,11863076,11873178,11894870,588,302,2.1458,9.9514,-0.6452,-0.1426,-0.0966
chr1,11946830,11979814,11962580,179,110,2.2708,2.2569,0.0031,0.0007,0.0005
chr1,12017870,12040774,12029126,181,130,1.0833,10.9722,-0.8203,-1.0182,-0.412
chr1,12042399,12067878,12058531,133,85,0.3924,5.7743,-0.8727,-0.8633,-0.2668
chr1,12393070,12437006,12416632,478,280,1.3333,5.3819,-0.6029,-0.1027,-0.0734
chr1,12434546,12444648,12437649,59,29,0.2431,0.1111,0.3725,0.0273,0.024
chr1,12508774,12518920,12515438,97,47,0.0,8.0,-1.0,-0.7706,-0.4172
chr1,12512651,12652295,12577113,1626,908,4.6181,70.8333,-0.8776,-0.4012,-0.2394
chr1,12932557,12942660,12937712,139,79,0.2153,4.3125,-0.9049,-0.5254,-0.2453
chr1,13427846,13951821,13692514,5260,3201,32.1169,100.9919,-0.5174,-0.1805,-0.1069
chr1,14037427,14054076,14046574,205,127,0.6458,2.375,-0.5724,-0.0761,-0.0608
chr1,14070211,14236979,14161798,1357,746,8.2465,16.934,-0.345,-0.092,-0.0624
chr1,14287927,14306463,14297379,163,86,1.2685,9.1782,-0.7571,-0.7953,-0.281
chr1,14364649,14409077,14384516,319,178,1.1701,7.9132,-0.7424,-0.2728,-0.1737
chr1,14401661,14464967,14432679,394,217,1.9583,3.6319,-0.2994,-0.0786,-0.0433
chr1,14417712,14427852,14445017,252,142,1.9583,1.0417,0.3056,0.0537,0.0333
chr1,14453821,14476698,14462539,132,76,1.3542,1.3125,0.0156,0.0043,0.0025
chr1,14494624,14549869,14524909,378,194,1.0,19.4167,-0.902,-0.7976,-0.3745
chr1,14564436,14626094,14601805,613,347,0.9028,10.1597,-0.8368,-0.209,-0.1378
chr1,14615233,14632261,14622715,233,137,0.6458,3.0903,-0.6543,-0.1254,-0.0855
chr1,14637775,14678919,14657642,233,136,1.5347,2.7222,-0.279,-0.0624,-0.0396
chr1,14762015,14870998,14826387,776,486,0.2083,66.2361,-0.9937,-1.0496,-0.4824
chr1,14862381,14907697,14877254,439,259,1.9375,25.9236,-0.8609,-0.7734,-0.3513
chr1,14927684,14940639,14935444,57,29,1.1944,1.3056,-0.0444,-0.0393,-0.0196
chr1,14940353,14952995,14946072,177,105,0.838,2.7685,-0.5353,-0.1722,-0.1064
chr1,14947638,14993136,14971470,827,503,2.5972,42.9306,-0.8859,-0.913,-0.3281
chr1,14960431,14976015,14976001,641,386,1.0347,39.9861,-0.9496,-1.1639,-0.3841
chr1,15048251,15089422,15068570,517,297,3.5139,12.8194,-0.5697,-0.2319,-0.1264
chr1,15120817,15141391,15133940,198,113,0.2708,10.4514,-0.9495,-0.4873,-0.2961
chr1,15172901,15277403,15217517,505,270,15.625,0.0278,0.9965,0.3013,0.1538
chr1,15276773,15322602,15302618,294,158,0.0,10.125,-1.0,-0.3588,-0.1907
chr1,15313223,15364001,15335979,198,116,0.3958,4.5417,-0.8397,-0.3073,-0.1608
chr1,15363557,15390609,15376413,216,128,1.2917,4.8333,-0.5782,-0.1294,-0.0835
chr1,15496824,15506988,15501647,91,52,1.0,0.0833,0.8462,0.0994,0.0631
chr1,15505642,15515806,15509864,98,56,0.3333,3.0,-0.8,-0.2369,-0.1133
chr1,15527937,15538081,15533376,158,84,1.8218,0.9329,0.3227,0.0983,0.0703
chr1,15555392,15565536,15559850,61,37,1.0,1.5278,-0.2088,-0.1042,-0.0551
chr1,15609059,15672928,15643789,577,330,10.0197,12.7975,-0.1217,-0.0479,-0.0293
chr1,15664572,15680842,15671814,215,126,0.1562,1.1771,-0.7656,-0.0476,-0.0343
chr1,15676561,15702264,15688864,152,88,0.25,3.2083,-0.8554,-0.1852,-0.1107
chr1,15710993,15754989,15730476,237,129,2.3333,1.5278,0.2086,0.034,0.0242
chr1,15759260,15821348,15791643,653,375,3.6632,16.0243,-0.6279,-0.2718,-0.1437
chr1,16010560,16077185,16048523,411,244,1.3576,2.316,-0.2609,-0.0422,-0.0261
chr1,16075952,16115899,16099700,536,317,3.2199,6.2338,-0.3188,-0.0903,-0.0553
chr1,16110686,16157812,16130693,649,392,1.5625,14.0972,-0.8004,-0.2128,-0.1254
chr1,16300553,16429048,16370450,1721,1042,8.8264,40.1389,-0.6395,-0.26,-0.134
chr1,16482361,16560495,16512724,698,412,5.2986,11.625,-0.3738,-0.1504,-0.083
chr1,16973696,17138152,17052436,1714,1000,8.9375,17.8403,-0.3325,-0.0541,-0.0394
chr1,17391520,17514316,17451335,1731,997,9.3438,32.5938,-0.5544,-0.1829,-0.1135
chr1,17599625,17631352,17616365,210,113,1.0833,2.6875,-0.4254,-0.0927,-0.0647
chr1,17634407,17676772,17655773,505,280,1.2361,6.7569,-0.6907,-0.18,-0.115
chr1,17672506,17728338,17697044,665,409,2.4514,17.1389,-0.7497,-0.3057,-0.1779
chr1,17851431,18001131,17915622,1850,1048,2.5347,73.6042,-0.9334,-0.4832,-0.2494
chr1,18000184,18039463,18022508,360,202,2.3194,5.6111,-0.4151,-0.1143,-0.0654
chr1,18028925,18051313,18041632,288,163,7.25,4.2361,0.2624,0.1084,0.0592
chr1,18038030,18071974,18054322,409,234,8.0208,25.0556,-0.515,-0.7422,-0.1921
chr1,18081376,18099249,18091825,225,136,2.7535,3.9271,-0.1757,-0.0581,-0.0364
chr1,18082228,18092335,18092103,219,135,2.7535,3.9271,-0.1757,-0.0582,-0.0364
chr1,18082424,18116210,18099124,400,251,5.1285,4.5729,0.0573,0.0167,0.0106
chr1,18115496,18274249,18192987,2119,1275,10.4838,43.6053,-0.6124,-0.212,-0.1203
chr1,18205907,18216197,18240498,890,537,2.2303,18.1019,-0.7806,-0.2803,-0.1493
chr1,18287972,18298121,18291441,25,17,0.0,0.8333,-1.0,-0.4829,-0.2419
chr1,18420958,18449157,18435806,266,157,2.6389,2.25,0.0795,0.0271,0.0122
chr1,18443194,18468664,18458322,256,149,1.7535,4.4479,-0.4345,-0.1878,-0.0992
chr1,18456898,18591949,18510794,1068,581,3.9769,13.1366,-0.5352,-0.1379,-0.0854
chr1,18636542,18646792,18641325,51,35,0.0625,0.25,-0.6,-0.0433,-0.0311
chr1,18764550,18774851,18769759,37,22,0.25,1.375,-0.6923,-0.5562,-0.2902
chr1,18769230,18783618,18777325,75,47,0.0,1.4167,-1.0,-0.4837,-0.2804
chr1,18899155,18916788,18906975,190,121,12.2778,5.9792,0.345,0.2195,0.1496
chr1,18926211,18949899,18936691,305,184,1.8229,26.6771,-0.8721,-0.8,-0.4129
chr1,18951166,18972019,18963913,197,134,1.2708,3.0,-0.4049,-0.0697,-0.0539
chr1,18974244,18989904,18983732,174,84,1.9653,0.7222,0.4625,0.1522,0.1135
chr1,19097764,19150934,19125993,574,338,2.4167,17.4792,-0.7571,-0.4272,-0.2196
chr1,19286613,19309087,19295710,187,100,1.4306,5.4722,-0.5855,-0.2141,-0.1399
chr1,19390575,19432372,19408443,272,181,0.7361,23.2639,-0.9387,-0.8044,-0.3732
chr1,19437402,19464876,19454890,309,192,0.1458,13.8333,-0.9791,-0.4176,-0.2579
chr1,19455389,19474881,19463853,285,170,0.1875,7.7222,-0.9526,-0.2453,-0.1662
chr1,19467350,19531807,19501617,532,306,1.9167,15.5694,-0.7808,-0.2141,-0.143
chr1,19523481,19546309,19534325,295,178,1.5,13.6667,-0.8022,-0.2901,-0.1772
chr1,19547314,19597492,19569623,248,144,0.5,18.8333,-0.9483,-0.4763,-0.2892
chr1,19613410,19998811,19795011,2089,1275,56.2222,29.2083,0.3162,0.0937,0.0583
chr1,19644417,19654479,19805649,1965,1211,56.2222,27.0833,0.3498,0.1064,0.0665
chr1,20033281,20181733,20110446,1095,650,9.2708,25.1528,-0.4614,-0.1384,-0.0898
chr1,20276321,20356632,20318488,534,321,5.4583,12.1111,-0.3787,-0.2159,-0.0788
chr1,20363406,20398103,20382010,436,265,0.7292,9.2569,-0.854,-0.1688,-0.1191
chr1,20449569,20566032,20494740,705,386,0.3681,28.7431,-0.9747,-0.4292,-0.262
chr1,20509211,20519268,20535660,214,132,0.0556,10.8889,-0.9898,-0.5613,-0.3385
chr1,20594718,20613863,20607100,138,90,0.9028,2.6111,-0.4862,-0.2071,-0.1376
chr1,20604955,20731068,20666608,1428,913,11.5208,40.6667,-0.5585,-0.266,-0.1422
chr1,20771193,20781461,20775467,24,16,0.0694,1.8472,-0.9275,-1.3509,-0.4693
chr1,20771543,20781647,20775467,24,16,0.0694,1.8472,-0.9275,-1.3509,-0.4693
chr1,20818403,20869764,20849846,370,196,0.8958,16.625,-0.8977,-0.4492,-0.2435
chr1,21218302,21303758,21268375,796,476,1.2743,33.559,-0.9268,-0.5373,-0.2638
chr1,21331416,21379416,21355236,534,309,3.3993,18.2257,-0.6856,-0.3927,-0.2051
chr1,21412867,21427435,21418296,148,83,0.1111,1.2222,-0.8333,-0.0838,-0.064
chr1,21422737,21444751,21434894,134,72,0.0556,1.5139,-0.9292,-0.178,-0.1257
chr1,21478611,21663232,21571056,1543,950,6.9572,30.0405,-0.6239,-0.1978,-0.1156
chr1,21718169,21738560,21728990,133,78,0.1181,5.125,-0.955,-0.5633,-0.2426
chr1,21769143,21782982,21779213,30,22,0.1667,0.0,1.0,0.0463,0.0229
chr1,21777071,21853068,21821165,696,429,14.6042,1.0,0.8718,0.1393,0.0979
chr1,21844584,21952560,21886128,756,445,3.8333,10.4375,-0.4628,-0.0848,-0.0541
chr1,21927103,21937210,21938331,99,57,0.1458,0.9375,-0.7308,-0.1045,-0.0513
chr1,21928375,21938472,21938331,99,57,0.1458,0.9375,-0.7308,-0.1045,-0.0513
chr1,22090204,22135713,22110726,291,164,0.8333,9.0,-0.8305,-0.2023,-0.1242
chr1,22108088,22118193,22123139,150,87,0.0,4.0,-1.0,-0.179,-0.1069
chr1,22141929,22162049,22153817,167,93,0.4583,3.4167,-0.7634,-0.1038,-0.0745
chr1,22152451,22162546,22157224,105,57,0.4583,0.4167,0.0476,0.0028,0.0019
chr1,22163191,22220134,22196655,333,176,2.625,5.4792,-0.3522,-0.0969,-0.0596
chr1,22214170,22278899,22240061,408,228,0.4132,5.3229,-0.8559,-0.1246,-0.0802
chr1,22296833,22329366,22310941,247,154,2.8125,8.1875,-0.4886,-0.1866,-0.1129
chr1,22342998,22357729,22350603,122,81,2.0833,1.25,0.25,0.1396,0.0642
chr1,22482933,22497828,22490586,123,59,1.0833,0.0,1.0,0.1013,0.0687
chr1,22527279,22537579,22534394,25,17,0.0,1.1667,-1.0,-2.8966,-0.2553
chr1,22533922,22560689,22546791,209,125,0.0,11.25,-1.0,-0.8018,-0.3209
chr1,22567387,22588312,22582696,136,91,0.1667,0.8333,-0.6667,-0.0615,-0.026
chr1,22580569,22594989,22587796,176,116,0.875,3.2083,-0.5714,-0.1261,-0.0627
chr1,22585042,22600774,22592624,220,130,1.3333,3.2083,-0.4128,-0.0816,-0.0482
chr1,22590410,22627097,22601756,263,164,3.2917,1.1667,0.4766,0.0747,0.0474
chr1,22634788,22669453,22653442,138,96,0.875,1.7778,-0.3403,-0.0744,-0.0353
chr1,22664562,22722010,22699149,222,131,0.9583,3.7431,-0.5923,-0.1777,-0.1119
chr1,22758625,22772234,22765328,175,129,0.3333,13.7222,-0.9526,-0.9441,-0.4497
chr1,22876083,22940579,22909483,624,395,1.7234,8.6956,-0.6692,-0.1942,-0.1237
chr1,22944661,22954717,22949527,121,66,0.0,2.75,-1.0,-0.2323,-0.1583
chr1,22973375,23016746,22992598,212,120,0.6146,4.941,-0.7788,-0.3073,-0.1874
chr1,23137097,23182632,23161536,557,317,1.3368,19.8438,-0.8738,-0.4034,-0.2399
chr1,23175546,23227562,23194616,416,249,0.934,14.3785,-0.878,-0.4588,-0.2545
chr1,23233151,23340235,23279938,705,422,2.6667,10.6875,-0.6006,-0.1393,-0.0865
chr1,23318100,23366624,23347182,378,231,1.5069,5.3472,-0.5603,-0.0928,-0.0571
chr1,23467200,23506097,23485154,371,261,1.375,10.5208,-0.7688,-0.2659,-0.1785
chr1,23565918,23671255,23620976,740,480,0.625,60.7778,-0.9796,-0.8361,-0.4156
chr1,23599603,23609706,23643447,459,313,0.375,29.2778,-0.9747,-0.5218,-0.3165
chr1,23716265,23791434,23749194,959,555,1.5,37.1111,-0.9223,-0.3636,-0.2297
chr1,24046661,24067406,24056221,73,42,1.3889,1.0556,0.1364,0.0653,0.0343
chr1,24066310,24081636,24073202,177,109,1.25,0.3611,0.5517,0.0593,0.0333
chr1,24094255,24129480,24109503,273,143,0.1042,5.3403,-0.9617,-0.192,-0.1313
