Gene stable ID	Gene stable ID version	Human gene name	Mouse gene name	Gene name
ENSMMUG00000039011	ENSMMUG00000039011.1	CGRRF1	Cgrrf1	
ENSMMUG00000038116	ENSMMUG00000038116.1			
ENSMMUG00000046842	ENSMMUG00000046842.1			
ENSMMUG00000038431	ENSMMUG00000038431.1			
ENSMMUG00000011856	ENSMMUG00000011856.3		Rplp0	
ENSMMUG00000041892	ENSMMUG00000041892.1			
ENSMMUG00000016293	ENSMMUG00000016293.3	LRCH1	Lrch1	LRCH1
ENSMMUG00000003474	ENSMMUG00000003474.3	GALNT14	Galnt14	GALNT14
ENSMMUG00000031832	ENSMMUG00000031832.2			
ENSMMUG00000041739	ENSMMUG00000041739.1	OXCT2	Oxct2a	
ENSMMUG00000041739	ENSMMUG00000041739.1	OXCT2	Oxct2b	
ENSMMUG00000016290	ENSMMUG00000016290.3	WWC3		WWC3
ENSMMUG00000030655	ENSMMUG00000030655.2	IGKV2D-40		
ENSMMUG00000030655	ENSMMUG00000030655.2	IGKV2-40		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L28		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L22		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L3		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L13		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L5		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L26		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L25		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L30		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L23		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L15		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L1		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L20		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L29		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L27		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L2		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L12		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L21		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L17		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L11		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L19		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L4		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L7		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L10		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L8		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L24		
ENSMMUG00000045288	ENSMMUG00000045288.1	USP17L18		
ENSMMUG00000008867	ENSMMUG00000008867.3	ERI1	Eri1	ERI1
ENSMMUG00000041162	ENSMMUG00000041162.1	HSFX3		
ENSMMUG00000041162	ENSMMUG00000041162.1	HSFX4		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L28		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L22		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L3		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L13		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L5		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L26		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L25		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L30		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L23		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L15		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L1		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L20		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L29		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L27		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L2		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L12		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L21		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L17		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L11		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L19		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L4		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L7		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L10		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L8		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L24		
ENSMMUG00000049096	ENSMMUG00000049096.1	USP17L18		
ENSMMUG00000048181	ENSMMUG00000048181.1		Rpl9-ps6	
ENSMMUG00000048181	ENSMMUG00000048181.1		Rpl9	
ENSMMUG00000020571	ENSMMUG00000020571.3	EBPL	Ebpl	EBPL
ENSMMUG00000000958	ENSMMUG00000000958.3	AKR1C4		AKR1C2
ENSMMUG00000040927	ENSMMUG00000040927.1			
ENSMMUG00000022819	ENSMMUG00000022819.3			
ENSMMUG00000006834	ENSMMUG00000006834.3			
ENSMMUG00000009528	ENSMMUG00000009528.3	THSD1	Thsd1	THSD1
ENSMMUG00000010402	ENSMMUG00000010402.3	CCBE1	Ccbe1	CCBE1
ENSMMUG00000042684	ENSMMUG00000042684.1	PFKP	Pfkp	
ENSMMUG00000047577	ENSMMUG00000047577.1			
ENSMMUG00000011697	ENSMMUG00000011697.3	RNF219	Rnf219	RNF219
ENSMMUG00000016129	ENSMMUG00000016129.3			
ENSMMUG00000018670	ENSMMUG00000018670.3	STMN4	Stmn4	STMN4
ENSMMUG00000010864	ENSMMUG00000010864.3	STAMBP	Stambp	STAMBP
ENSMMUG00000043190	ENSMMUG00000043190.1	COX5B	Cox5b	
ENSMMUG00000043190	ENSMMUG00000043190.1	COX5B	Gm11273	
ENSMMUG00000020108	ENSMMUG00000020108.3	INO80C	Ino80c	INO80C
ENSMMUG00000000426	ENSMMUG00000000426.3	CX3CL1	Cx3cl1	CX3CL1
ENSMMUG00000039093	ENSMMUG00000039093.1			
ENSMMUG00000016608	ENSMMUG00000016608.2	USP11	Usp11	USP11
ENSMMUG00000045330	ENSMMUG00000045330.1			
ENSMMUG00000040052	ENSMMUG00000040052.1	STAR	Star	
ENSMMUG00000020572	ENSMMUG00000020572.3	KPNA3	Kpna3	KPNA3
ENSMMUG00000038851	ENSMMUG00000038851.1	WTAP	Wtap	
ENSMMUG00000041807	ENSMMUG00000041807.1			
ENSMMUG00000006392	ENSMMUG00000006392.3	AIFM2	Aifm2	AIFM2
ENSMMUG00000004237	ENSMMUG00000004237.3	TNFRSF19	Tnfrsf19	TNFRSF19
ENSMMUG00000048614	ENSMMUG00000048614.1	HLA-G		
ENSMMUG00000011549	ENSMMUG00000011549.3	COMMD5	Commd5	COMMD5
ENSMMUG00000006910	ENSMMUG00000006910.3			
ENSMMUG00000010130	ENSMMUG00000010130.3		Mia2	
ENSMMUG00000040573	ENSMMUG00000040573.1			PMAIP1
ENSMMUG00000042692	ENSMMUG00000042692.1	SPINT1	Spint1	
ENSMMUG00000020656	ENSMMUG00000020656.3	ACOT12	Acot12	ACOT12
ENSMMUG00000048208	ENSMMUG00000048208.1			
ENSMMUG00000042196	ENSMMUG00000042196.1			
ENSMMUG00000046900	ENSMMUG00000046900.1		Ssxa1	
ENSMMUG00000021887	ENSMMUG00000021887.3	S100P		S100P
ENSMMUG00000011572	ENSMMUG00000011572.3	PSD4	Psd4	PSD4
ENSMMUG00000013713	ENSMMUG00000013713.3	B3GLCT	B3glct	B3GLCT
ENSMMUG00000046551	ENSMMUG00000046551.1	APOH	Apoh	
ENSMMUG00000044171	ENSMMUG00000044171.1	CCAR1	Ccar1	
ENSMMUG00000044709	ENSMMUG00000044709.1	HLA-C		
ENSMMUG00000020082	ENSMMUG00000020082.3	BCAS1	Bcas1	BCAS1
ENSMMUG00000040709	ENSMMUG00000040709.1			
ENSMMUG00000000959	ENSMMUG00000000959.2			CYP11B2
ENSMMUG00000043424	ENSMMUG00000043424.1		Anp32e	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG3	Ceacam2	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG3	Ceacam1	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG2	Ceacam2	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG2	Ceacam1	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG11	Ceacam2	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG11	Ceacam1	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG4	Ceacam2	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG4	Ceacam1	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG6	Ceacam2	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG6	Ceacam1	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG8	Ceacam2	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG8	Ceacam1	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG1	Ceacam2	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG1	Ceacam1	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG9	Ceacam2	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG9	Ceacam1	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG5	Ceacam2	
ENSMMUG00000046870	ENSMMUG00000046870.1	PSG5	Ceacam1	
ENSMMUG00000017025	ENSMMUG00000017025.3	ZC3H13	Zc3h13	ZC3H13
ENSMMUG00000046253	ENSMMUG00000046253.1	FAM200B		FAM200B
ENSMMUG00000043193	ENSMMUG00000043193.1			
ENSMMUG00000017627	ENSMMUG00000017627.3	BTAF1	Btaf1	BTAF1
ENSMMUG00000040572	ENSMMUG00000040572.1		Atp6v1f	
ENSMMUG00000044172	ENSMMUG00000044172.1	ELOA3		
ENSMMUG00000044172	ENSMMUG00000044172.1	ELOA3B		
ENSMMUG00000044172	ENSMMUG00000044172.1	ELOA3D		
ENSMMUG00000030679	ENSMMUG00000030679.2		Gm14214	
ENSMMUG00000043927	ENSMMUG00000043927.1			
ENSMMUG00000047740	ENSMMUG00000047740.1			
ENSMMUG00000038283	ENSMMUG00000038283.1		Ssxa1	
ENSMMUG00000008875	ENSMMUG00000008875.3	SLC35F5	Slc35f5	SLC35F5
ENSMMUG00000032482	ENSMMUG00000032482.2			
ENSMMUG00000000457	ENSMMUG00000000457.3	GALNT1	Galnt1	GALNT1
ENSMMUG00000019156	ENSMMUG00000019156.3	PARD3	Pard3	PARD3
ENSMMUG00000047591	ENSMMUG00000047591.1	MAGED4		
ENSMMUG00000047591	ENSMMUG00000047591.1	MAGED4B		
ENSMMUG00000009579	ENSMMUG00000009579.3	SPRYD7	Spryd7	SPRYD7
ENSMMUG00000047238	ENSMMUG00000047238.1		Chordc1	
ENSMMUG00000003245	ENSMMUG00000003245.3	RASA1	Rasa1	RASA1
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG3	Ceacam2	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG3	Ceacam1	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG2	Ceacam2	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG2	Ceacam1	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG11	Ceacam2	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG11	Ceacam1	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG4	Ceacam2	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG4	Ceacam1	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG6	Ceacam2	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG6	Ceacam1	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG8	Ceacam2	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG8	Ceacam1	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG1	Ceacam2	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG1	Ceacam1	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG9	Ceacam2	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG9	Ceacam1	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG5	Ceacam2	
ENSMMUG00000000889	ENSMMUG00000000889.3	PSG5	Ceacam1	
ENSMMUG00000009307	ENSMMUG00000009307.3	CNBD2	Cnbd2	CNBD2
ENSMMUG00000018423	ENSMMUG00000018423.3	BCL2L11	Bcl2l11	BCL2L11
ENSMMUG00000044855	ENSMMUG00000044855.1			
ENSMMUG00000011408	ENSMMUG00000011408.3	LAMA1	Lama1	LAMA1
ENSMMUG00000018893	ENSMMUG00000018893.3	OR2AK2	Olfr319	
ENSMMUG00000018893	ENSMMUG00000018893.3	OR2AK2	Olfr316	
ENSMMUG00000018893	ENSMMUG00000018893.3	OR2AK2	Olfr318	
ENSMMUG00000018893	ENSMMUG00000018893.3	OR2AK2	Olfr320	
ENSMMUG00000037712	ENSMMUG00000037712.1	STAR	Star	
ENSMMUG00000019399	ENSMMUG00000019399.3	FZD6	Fzd6	FZD6
ENSMMUG00000045113	ENSMMUG00000045113.1	MAGED4		
ENSMMUG00000045113	ENSMMUG00000045113.1	MAGED4B		
ENSMMUG00000003201	ENSMMUG00000003201.3	MID1IP1	Mid1ip1	MID1IP1
ENSMMUG00000010898	ENSMMUG00000010898.3	TRIM13	Trim13	TRIM13
ENSMMUG00000003779	ENSMMUG00000003779.3	GNRHR	Gnrhr	GNRHR
ENSMMUG00000007899	ENSMMUG00000007899.3	GRAMD2B	Gramd3	GRAMD2B
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG3	Ceacam2	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG3	Ceacam1	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG2	Ceacam2	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG2	Ceacam1	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG11	Ceacam2	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG11	Ceacam1	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG4	Ceacam2	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG4	Ceacam1	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG6	Ceacam2	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG6	Ceacam1	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG8	Ceacam2	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG8	Ceacam1	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG1	Ceacam2	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG1	Ceacam1	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG9	Ceacam2	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG9	Ceacam1	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG5	Ceacam2	
ENSMMUG00000001696	ENSMMUG00000001696.3	PSG5	Ceacam1	
ENSMMUG00000018782	ENSMMUG00000018782.3	C18orf21	2700062C07Rik	C18orf21
ENSMMUG00000016706	ENSMMUG00000016706.3	CHAF1A	Chaf1a	CHAF1A
ENSMMUG00000045392	ENSMMUG00000045392.1		Sdcbp	
ENSMMUG00000043416	ENSMMUG00000043416.1			
ENSMMUG00000030683	ENSMMUG00000030683.2	POU4F1	Pou4f1	POU4F1
ENSMMUG00000048887	ENSMMUG00000048887.1		Rbck1	
ENSMMUG00000004209	ENSMMUG00000004209.3	ESD	Esd	ESD
ENSMMUG00000016084	ENSMMUG00000016084.3	C8orf33	1110038F14Rik	C8orf33
ENSMMUG00000049098	ENSMMUG00000049098.1			
ENSMMUG00000039681	ENSMMUG00000039681.1			
ENSMMUG00000019516	ENSMMUG00000019516.2		Psat1	
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L28		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L22		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L3		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L13		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L5		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L26		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L25		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L30		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L23		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L15		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L1		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L20		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L29		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L27		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L2		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L12		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L21		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L17		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L11		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L19		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L4		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L7		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L10		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L8		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L24		
ENSMMUG00000044213	ENSMMUG00000044213.1	USP17L18		
ENSMMUG00000011189	ENSMMUG00000011189.3	TLK1	Tlk1	TLK1
ENSMMUG00000038543	ENSMMUG00000038543.1			
ENSMMUG00000047063	ENSMMUG00000047063.1	LUM	Lum	
ENSMMUG00000046980	ENSMMUG00000046980.1	CST4		
ENSMMUG00000046980	ENSMMUG00000046980.1	CST2		
ENSMMUG00000046980	ENSMMUG00000046980.1	CST1		
ENSMMUG00000010674	ENSMMUG00000010674.3	LZTS2	Lzts2	LZTS2
ENSMMUG00000016069	ENSMMUG00000016069.3	CUBN	Cubn	CUBN
ENSMMUG00000021876	ENSMMUG00000021876.3	LILRB2		
ENSMMUG00000021876	ENSMMUG00000021876.3	LILRB1		
ENSMMUG00000015649	ENSMMUG00000015649.3	MOGAT1	Mogat1	MOGAT1
ENSMMUG00000020005	ENSMMUG00000020005.3			
ENSMMUG00000009117	ENSMMUG00000009117.3	HTRA1	Htra1	HTRA1
ENSMMUG00000044249	ENSMMUG00000044249.1			
ENSMMUG00000011911	ENSMMUG00000011911.3	TBR1	Tbr1	TBR1
ENSMMUG00000039967	ENSMMUG00000039967.1	DUX4	Duxbl2	
ENSMMUG00000039967	ENSMMUG00000039967.1	DUX4	Duxbl3	
ENSMMUG00000039967	ENSMMUG00000039967.1	DUX4	Duxbl1	
ENSMMUG00000015609	ENSMMUG00000015609.3	ZNF280C	Zfp280c	ZNF280C
ENSMMUG00000007588	ENSMMUG00000007588.3			
ENSMMUG00000044032	ENSMMUG00000044032.1			
ENSMMUG00000004165	ENSMMUG00000004165.3	SLC9A2	Slc9a2	SLC9A2
ENSMMUG00000017761	ENSMMUG00000017761.3	ZNF518B	Zfp518b	ZNF518B
ENSMMUG00000039074	ENSMMUG00000039074.1		Mrps23	
ENSMMUG00000041891	ENSMMUG00000041891.1			
ENSMMUG00000021357	ENSMMUG00000021357.3	ZBED3	Zbed3	ZBED3
ENSMMUG00000016587	ENSMMUG00000016587.3		Dtnb	
ENSMMUG00000037965	ENSMMUG00000037965.1	USP51	Usp51	USP51
ENSMMUG00000042067	ENSMMUG00000042067.1	HLA-B		
ENSMMUG00000046945	ENSMMUG00000046945.1			
ENSMMUG00000008098	ENSMMUG00000008098.3	USP34	Usp34	USP34
ENSMMUG00000041827	ENSMMUG00000041827.1	TTC30A	Ttc30b	TTC30A
ENSMMUG00000041827	ENSMMUG00000041827.1	TTC30A	Ttc30a2	TTC30A
ENSMMUG00000041827	ENSMMUG00000041827.1	TTC30A	Ttc30a1	TTC30A
ENSMMUG00000043066	ENSMMUG00000043066.1		Tmem161b	
ENSMMUG00000022081	ENSMMUG00000022081.3	CYLC1	Cylc1	CYLC1
ENSMMUG00000047877	ENSMMUG00000047877.1	SPINT1	Spint1	
ENSMMUG00000020080	ENSMMUG00000020080.3	GFRA1	Gfra1	GFRA1
ENSMMUG00000041946	ENSMMUG00000041946.1			
ENSMMUG00000039325	ENSMMUG00000039325.1	ZNF705G	Zfp78	
ENSMMUG00000039325	ENSMMUG00000039325.1	ZNF705E	Zfp78	
ENSMMUG00000039325	ENSMMUG00000039325.1	ZNF705A	Zfp78	
ENSMMUG00000039325	ENSMMUG00000039325.1	ZNF705D	Zfp78	
ENSMMUG00000039325	ENSMMUG00000039325.1	ZNF705B	Zfp78	
ENSMMUG00000002013	ENSMMUG00000002013.3	RBM45	Rbm45	RBM45
ENSMMUG00000020214	ENSMMUG00000020214.3		Smn1	SMN1
ENSMMUG00000004774	ENSMMUG00000004774.3	MROH2B	Mroh2b	MROH2B
ENSMMUG00000049218	ENSMMUG00000049218.1			
ENSMMUG00000005878	ENSMMUG00000005878.3	PTPRA	Ptpra	PTPRA
ENSMMUG00000021074	ENSMMUG00000021074.3	RASGEF1B	Rasgef1b	RASGEF1B
ENSMMUG00000009050	ENSMMUG00000009050.3	MBD1	Mbd1	MBD1
ENSMMUG00000044300	ENSMMUG00000044300.1	MAGEA1		MAGEA1
ENSMMUG00000048507	ENSMMUG00000048507.1	MAGED4		
ENSMMUG00000048507	ENSMMUG00000048507.1	MAGED4B		
ENSMMUG00000001663	ENSMMUG00000001663.3	IL1RAPL1	Il1rapl1	IL1RAPL1
ENSMMUG00000041088	ENSMMUG00000041088.1			
ENSMMUG00000002370	ENSMMUG00000002370.3	ITGA6	Itga6	ITGA6
ENSMMUG00000019008	ENSMMUG00000019008.3	AMER3	Amer3	AMER3
ENSMMUG00000021548	ENSMMUG00000021548.3	NIPAL4	Nipal4	NIPAL4
ENSMMUG00000040436	ENSMMUG00000040436.1	TRAV24		
ENSMMUG00000016256	ENSMMUG00000016256.3	MYO3B	Myo3b	MYO3B
ENSMMUG00000047496	ENSMMUG00000047496.1	AL592183.1	Frg1	
ENSMMUG00000000438	ENSMMUG00000000438.3	TTC23L	Ttc23l	TTC23L
ENSMMUG00000012310	ENSMMUG00000012310.3	CFLAR	Cflar	CFLAR
ENSMMUG00000006831	ENSMMUG00000006831.3	DNAJB14	Dnajb14	DNAJB14
ENSMMUG00000010899	ENSMMUG00000010899.3	KCNRG	Kcnrg	KCNRG
ENSMMUG00000041023	ENSMMUG00000041023.1			
ENSMMUG00000039259	ENSMMUG00000039259.1	CST9		
ENSMMUG00000017029	ENSMMUG00000017029.3	CPB2	Cpb2	CPB2
ENSMMUG00000005110	ENSMMUG00000005110.3	OR4Q2		
ENSMMUG00000018625	ENSMMUG00000018625.2	NIPAL1	Nipal1	NIPAL1
ENSMMUG00000041452	ENSMMUG00000041452.1	DIRC1		DIRC1
ENSMMUG00000042740	ENSMMUG00000042740.1			
ENSMMUG00000029787	ENSMMUG00000029787.2	LARS	Lars	LARS
ENSMMUG00000001713	ENSMMUG00000001713.3	CDH20	Cdh20	CDH20
ENSMMUG00000040417	ENSMMUG00000040417.1			
ENSMMUG00000047945	ENSMMUG00000047945.1			
ENSMMUG00000045908	ENSMMUG00000045908.1	RNF144A	Rnf144a	RNF144A
ENSMMUG00000004060	ENSMMUG00000004060.3	MAPK8	Mapk8	MAPK8
ENSMMUG00000029402	ENSMMUG00000029402.2		Gm5269	
ENSMMUG00000030367	ENSMMUG00000030367.2		Wdr5	
ENSMMUG00000022364	ENSMMUG00000022364.3	STK32C	Stk32c	STK32C
ENSMMUG00000044345	ENSMMUG00000044345.1			
ENSMMUG00000017734	ENSMMUG00000017734.3	MDH1B	Mdh1b	MDH1B
ENSMMUG00000047056	ENSMMUG00000047056.1		Eif4b	
