scaffold,start,end,mid,sites,pi_Arctoides,pi_Sinica,pi_Nemestrina,pi_Fascicularis,dxy_Arctoides_Sinica,dxy_Arctoides_Nemestrina,dxy_Arctoides_Fascicularis,dxy_Sinica_Nemestrina,dxy_Sinica_Fascicularis,dxy_Nemestrina_Fascicularis,Fst_Arctoides_Sinica,Fst_Arctoides_Nemestrina,Fst_Arctoides_Fascicularis,Fst_Sinica_Nemestrina,Fst_Sinica_Fascicularis,Fst_Nemestrina_Fascicularis
chr1,506194,521287,513344,465,0.0605,0.0722,0.1961,0.1339,0.1122,0.3063,0.2036,0.2849,0.1666,0.2928,0.2739,0.4307,0.3539,0.3801,0.2378,0.2957
chr1,564143,596870,583214,611,0.0633,0.0679,0.1362,0.1086,0.2387,0.3116,0.3031,0.1983,0.2142,0.2454,0.59,0.5368,0.5622,0.3397,0.4214,0.3501
chr1,587551,602514,595157,327,0.0832,0.1027,0.1316,0.1171,0.1754,0.334,0.2687,0.2786,0.2293,0.307,0.3261,0.5351,0.4645,0.4292,0.3623,0.4386
chr1,593687,638435,611809,639,0.127,0.1272,0.1229,0.1069,0.1681,0.2885,0.2226,0.2915,0.1949,0.2883,0.1496,0.4167,0.3256,0.4206,0.2622,0.4458
chr1,649489,660170,654984,200,0.0726,0.0613,0.1187,0.124,0.1041,0.224,0.1894,0.1919,0.1629,0.23,0.2327,0.4225,0.3203,0.3818,0.2761,0.32
chr1,666589,691388,680582,487,0.0956,0.0926,0.1355,0.0905,0.1296,0.3046,0.2478,0.2597,0.1929,0.239,0.1709,0.4716,0.4682,0.4105,0.3689,0.3769
chr1,682480,695533,688879,280,0.0696,0.0993,0.1438,0.073,0.1363,0.2827,0.2389,0.2542,0.214,0.2073,0.2509,0.4735,0.5525,0.3732,0.4445,0.3355
chr1,713203,766690,737345,594,0.0887,0.0957,0.1274,0.0885,0.1694,0.2786,0.2145,0.2711,0.196,0.2269,0.3135,0.4626,0.4283,0.4382,0.3744,0.3736
chr1,763449,788368,774345,499,0.0106,0.0631,0.13,0.0973,0.089,0.3386,0.3257,0.3132,0.2918,0.2153,0.4356,0.6755,0.7045,0.5505,0.5748,0.3252
chr1,797573,924917,857359,856,0.0135,0.0654,0.1443,0.0962,0.0884,0.3448,0.2894,0.3347,0.2785,0.2503,0.4032,0.6476,0.6705,0.5445,0.5566,0.3699
chr1,941701,954145,949771,282,0.0306,0.0798,0.1049,0.061,0.1405,0.3237,0.3229,0.3299,0.3157,0.2988,0.4571,0.6731,0.7529,0.5838,0.6521,0.5879
chr1,944442,956096,950669,327,0.0273,0.0743,0.1155,0.0632,0.1288,0.3435,0.3269,0.3437,0.3153,0.29,0.4554,0.6751,0.7564,0.5883,0.6567,0.5528
chr1,949113,1023454,981913,1417,0.0251,0.0823,0.1448,0.0886,0.1265,0.3272,0.2779,0.3314,0.2732,0.2512,0.4248,0.6085,0.655,0.5113,0.5355,0.3862
chr1,1049287,1064518,1056350,353,0.1138,0.0849,0.1603,0.1003,0.2045,0.2737,0.2116,0.243,0.191,0.2242,0.3661,0.3523,0.3421,0.3489,0.3565,0.2822
chr1,1080482,1241570,1162518,3036,0.0631,0.1073,0.1514,0.0989,0.1345,0.2519,0.221,0.2307,0.1859,0.2571,0.2399,0.424,0.4694,0.2996,0.2989,0.3646
chr1,1276620,1366322,1324712,1548,0.0202,0.0612,0.1475,0.0767,0.1581,0.2945,0.2507,0.2878,0.2397,0.2861,0.6114,0.5781,0.6702,0.4893,0.5623,0.4615
chr1,1402565,1452126,1426131,751,0.0204,0.0489,0.1386,0.0927,0.1932,0.3051,0.2533,0.2602,0.2091,0.2538,0.7139,0.6075,0.6272,0.4919,0.4968,0.3934
chr1,1434730,1464850,1450813,472,0.0299,0.0253,0.158,0.1111,0.1743,0.2626,0.2178,0.2626,0.2133,0.2401,0.7433,0.4948,0.5046,0.5043,0.5072,0.2979
chr1,1456548,1474431,1465347,359,0.0317,0.0427,0.1726,0.093,0.1538,0.2449,0.1624,0.2425,0.1617,0.21,0.6311,0.4327,0.4419,0.406,0.4092,0.2426
chr1,1524947,1565461,1543921,1231,0.0573,0.0787,0.1587,0.1065,0.1463,0.283,0.2385,0.2478,0.1997,0.2045,0.3858,0.4693,0.4917,0.3723,0.374,0.2273
chr1,1558576,1595088,1576974,747,0.0153,0.0889,0.1591,0.1006,0.1607,0.2745,0.2291,0.2743,0.2199,0.2514,0.5318,0.5396,0.5851,0.3979,0.4085,0.3379
chr1,1587187,1599865,1592845,210,0.0295,0.0753,0.15,0.1069,0.1221,0.2986,0.2364,0.2679,0.2032,0.2457,0.4206,0.5594,0.5462,0.4292,0.388,0.3305
chr1,1623746,1642082,1631943,429,0.032,0.0991,0.1902,0.1016,0.1555,0.3096,0.2598,0.2734,0.2174,0.2583,0.4281,0.4935,0.5867,0.3267,0.3806,0.2981
chr1,1658607,1671465,1666634,234,0.0429,0.09,0.1998,0.1323,0.1455,0.2995,0.2063,0.2784,0.1698,0.2869,0.3934,0.4446,0.3997,0.3344,0.2132,0.2833
chr1,1662771,1717390,1686046,727,0.0177,0.0782,0.1878,0.1188,0.1186,0.2601,0.1855,0.2413,0.168,0.2315,0.4455,0.4551,0.4503,0.3076,0.2654,0.2174
chr1,1712952,1748403,1730797,568,0.0713,0.1142,0.1563,0.0933,0.1557,0.2041,0.1664,0.2116,0.1576,0.1968,0.27,0.3023,0.346,0.2354,0.2172,0.24
chr1,1969132,1980668,1973767,288,0.0771,0.0985,0.1261,0.1074,0.1491,0.2064,0.178,0.1728,0.1627,0.1905,0.276,0.3601,0.3238,0.2273,0.2331,0.2522
chr1,2191028,2390468,2290038,4940,0.0813,0.1189,0.1343,0.0966,0.1634,0.2499,0.1759,0.2319,0.1748,0.2313,0.2565,0.4184,0.3374,0.3122,0.2497,0.3514
chr1,2402036,2439703,2422375,867,0.0286,0.1039,0.1535,0.1213,0.1462,0.242,0.2206,0.1979,0.1752,0.222,0.3967,0.4751,0.485,0.2268,0.2246,0.2484
chr1,2439363,2491727,2466931,1350,0.0622,0.1044,0.1456,0.1084,0.1421,0.2164,0.1698,0.1939,0.1386,0.1894,0.2778,0.3711,0.3346,0.231,0.1374,0.2092
chr1,2511525,2521621,2516899,210,0.0728,0.1176,0.1296,0.1121,0.1371,0.172,0.1818,0.1805,0.184,0.1816,0.1935,0.2765,0.3309,0.2007,0.2416,0.2113
chr1,2571814,2586106,2580338,206,0.0979,0.0933,0.1303,0.1154,0.1508,0.2124,0.1945,0.185,0.1498,0.2027,0.2395,0.3198,0.3004,0.2633,0.1845,0.2571
chr1,2574370,2607810,2591258,612,0.061,0.0824,0.1343,0.1221,0.1368,0.228,0.1806,0.213,0.1602,0.2141,0.3312,0.4212,0.3287,0.345,0.2253,0.2624
chr1,2600284,2699484,2657644,1961,0.0837,0.1067,0.1352,0.1222,0.1466,0.2352,0.1815,0.2292,0.1648,0.2204,0.2274,0.3852,0.2814,0.3281,0.187,0.2745
chr1,2695006,2705167,2699036,210,0.0687,0.0545,0.1452,0.1317,0.0907,0.1904,0.1635,0.1793,0.1446,0.1865,0.205,0.2986,0.2416,0.3026,0.2159,0.1555
chr1,2719126,2748493,2735658,431,0.0358,0.1189,0.1465,0.0828,0.1556,0.2354,0.23,0.2216,0.2226,0.2201,0.3555,0.4633,0.5895,0.2676,0.3951,0.3355
chr1,2748318,2772099,2756729,338,0.0333,0.1259,0.1437,0.133,0.1277,0.2308,0.1857,0.2391,0.1896,0.2132,0.2477,0.4673,0.3748,0.2968,0.196,0.2231
chr1,2749721,2760018,2758268,282,0.0369,0.1286,0.1426,0.1418,0.134,0.2445,0.2085,0.2409,0.2001,0.2206,0.2524,0.4847,0.3936,0.2975,0.2009,0.2254
chr1,2774736,2832591,2806384,710,0.0569,0.1336,0.1336,0.1091,0.1621,0.2016,0.1681,0.2057,0.1651,0.1909,0.2771,0.3786,0.3412,0.2275,0.1619,0.2348
chr1,2823492,2862182,2841695,409,0.0243,0.1351,0.1356,0.0987,0.2362,0.254,0.2342,0.2782,0.209,0.2095,0.517,0.5429,0.5768,0.3655,0.298,0.2983
chr1,2856896,2880055,2869477,364,0.0422,0.1094,0.1291,0.0885,0.178,0.2855,0.2605,0.2647,0.2422,0.1759,0.4238,0.5598,0.5998,0.3993,0.4367,0.2503
chr1,4973298,5119365,5034894,2379,0.0604,0.1004,0.1366,0.0941,0.1384,0.2111,0.1718,0.2026,0.1678,0.1961,0.2823,0.3839,0.3851,0.279,0.2778,0.275
chr1,5156636,5228863,5196469,1319,0.0563,0.1217,0.14,0.084,0.1537,0.2151,0.1705,0.2086,0.1642,0.2091,0.284,0.394,0.4233,0.2448,0.2442,0.3216
chr1,5219328,5302969,5261224,1195,0.0535,0.0957,0.1376,0.0954,0.1401,0.225,0.2025,0.2077,0.1786,0.2288,0.3237,0.425,0.4659,0.2984,0.3144,0.343
chr1,5301715,5331422,5313142,282,0.0623,0.0659,0.142,0.0928,0.1265,0.2576,0.1666,0.2522,0.1587,0.2532,0.3467,0.4536,0.3707,0.4377,0.3402,0.3862
chr1,5333699,5357619,5347548,304,0.0521,0.1057,0.1285,0.1097,0.1625,0.2316,0.177,0.2248,0.1705,0.2274,0.3663,0.4606,0.3736,0.3341,0.2346,0.3266
chr1,5349844,5373303,5359122,227,0.0467,0.1092,0.145,0.1026,0.1902,0.2472,0.1982,0.239,0.1993,0.2393,0.4401,0.4627,0.4532,0.3244,0.3184,0.3353
chr1,5372493,5383492,5379002,222,0.0864,0.0574,0.1361,0.0764,0.1172,0.1901,0.1991,0.1548,0.1739,0.219,0.2558,0.2791,0.4349,0.2466,0.4526,0.3684
chr1,5393226,5538527,5448702,1999,0.0552,0.0981,0.1422,0.0926,0.1413,0.2385,0.1786,0.2266,0.1663,0.2051,0.3154,0.4358,0.4191,0.3257,0.2826,0.2887
chr1,5547218,5563975,5559098,148,0.018,0.0415,0.1512,0.0948,0.1197,0.3413,0.2576,0.2989,0.2205,0.2368,0.6224,0.6233,0.6317,0.5341,0.5276,0.3353
chr1,5559372,5607484,5581556,629,0.0224,0.0882,0.1498,0.1062,0.1491,0.2589,0.2303,0.2426,0.2177,0.221,0.4806,0.5225,0.5547,0.3617,0.3923,0.2819
chr1,5598460,5613784,5607204,198,0.0638,0.08,0.1556,0.034,0.1829,0.2728,0.2332,0.2854,0.2465,0.2091,0.457,0.4477,0.675,0.4368,0.6505,0.4117
chr1,5603519,5649791,5626860,593,0.066,0.0801,0.1664,0.0642,0.1491,0.2574,0.2147,0.2541,0.2104,0.2259,0.3623,0.3986,0.5485,0.3665,0.5067,0.3507
chr1,5664771,5704297,5683513,181,0.0341,0.0624,0.1631,0.0734,0.1367,0.2128,0.1768,0.1854,0.1617,0.2111,0.5,0.3872,0.5342,0.2602,0.4185,0.3045
chr1,5678889,5688999,5694049,97,0.0591,0.0446,0.1766,0.0589,0.1207,0.1929,0.1792,0.1911,0.1881,0.2278,0.42,0.2576,0.5177,0.2841,0.5767,0.3467
chr1,5695174,5725359,5714410,219,0.0663,0.0845,0.1746,0.0721,0.1318,0.2348,0.1877,0.2064,0.1627,0.1993,0.2898,0.3414,0.4733,0.2446,0.3652,0.2566
chr1,5715802,5736317,5726698,343,0.0423,0.0687,0.1605,0.1062,0.1015,0.1991,0.181,0.1755,0.1567,0.2209,0.3111,0.3444,0.4167,0.2248,0.2885,0.2631
chr1,5730475,5750344,5738635,260,0.0224,0.0888,0.1647,0.0916,0.1269,0.2364,0.2048,0.2055,0.1771,0.2379,0.4114,0.4545,0.5574,0.2531,0.3364,0.3202
chr1,5751836,5769595,5760768,178,0.0101,0.0447,0.1853,0.0702,0.0807,0.27,0.1979,0.254,0.1798,0.2412,0.5153,0.4903,0.652,0.3974,0.5215,0.3337
chr1,5763068,5781021,5773364,222,0.0141,0.0881,0.1579,0.0885,0.1231,0.2402,0.1669,0.2308,0.1521,0.2184,0.4343,0.4944,0.5183,0.3235,0.2759,0.2981
chr1,5771098,5851132,5810817,754,0.0549,0.1002,0.1383,0.1063,0.138,0.1979,0.1696,0.1934,0.162,0.2008,0.2988,0.364,0.3579,0.2534,0.2301,0.2566
chr1,6371009,6381174,6378695,92,0.0549,0.1088,0.147,0.1064,0.1793,0.2242,0.1595,0.2062,0.1505,0.1898,0.3935,0.3996,0.3303,0.2502,0.1741,0.2119
chr1,6896850,6918816,6909974,278,0.0613,0.0786,0.1162,0.0995,0.1014,0.2496,0.2259,0.2505,0.2227,0.2627,0.1968,0.497,0.4799,0.4614,0.4377,0.4336
chr1,6909561,6978338,6939141,599,0.0544,0.0931,0.1146,0.089,0.1292,0.2234,0.2022,0.23,0.1949,0.2404,0.2909,0.4728,0.4811,0.3986,0.3762,0.4223
chr1,6972274,6988746,6978412,179,0.0345,0.1003,0.1195,0.1116,0.1356,0.1603,0.1624,0.1681,0.1716,0.1897,0.3554,0.3709,0.3747,0.2241,0.2448,0.2537
chr1,7044591,7074527,7065116,128,0.018,0.1026,0.1746,0.0659,0.1196,0.2656,0.2054,0.2916,0.2287,0.2642,0.3493,0.4895,0.6553,0.3758,0.483,0.4031
chr1,7107105,7117208,7113145,83,0.088,0.074,0.0683,0.0734,0.1206,0.2511,0.1927,0.2536,0.2096,0.1996,0.2107,0.5469,0.4257,0.583,0.4931,0.488
chr1,7126397,7145893,7137713,172,0.0362,0.0942,0.1475,0.0785,0.1586,0.2572,0.2253,0.2657,0.2431,0.2483,0.4387,0.4954,0.5947,0.3954,0.4924,0.3976
chr1,7331861,7342025,7334886,76,0.0879,0.1299,0.1745,0.0856,0.1336,0.2142,0.138,0.2134,0.1393,0.1937,0.1099,0.2567,0.2378,0.1798,0.1373,0.2135
chr1,7441158,7451261,7448363,60,0.097,0.0698,0.1442,0.1209,0.1177,0.1907,0.1839,0.1686,0.1704,0.1955,0.1831,0.2409,0.2633,0.2388,0.2854,0.2023
chr1,7466730,7502142,7485123,550,0.0421,0.0871,0.1336,0.1092,0.118,0.1989,0.1931,0.2077,0.2001,0.2175,0.3109,0.408,0.435,0.3249,0.3503,0.2974
chr1,7476556,7486669,7489558,418,0.0444,0.0875,0.1282,0.106,0.1173,0.2082,0.2061,0.22,0.2102,0.2248,0.2984,0.4352,0.4645,0.362,0.379,0.3296
chr1,7500426,7970451,7706146,4182,0.042,0.077,0.1299,0.0836,0.1116,0.2582,0.2337,0.2495,0.2243,0.2358,0.3236,0.5223,0.5782,0.4351,0.4846,0.3969
chr1,7654364,7664489,7800445,2534,0.0414,0.0803,0.1216,0.0857,0.112,0.2638,0.2431,0.2576,0.2356,0.2293,0.3146,0.5496,0.5868,0.4585,0.4912,0.396
chr1,7936366,7946462,7956059,204,0.0208,0.0893,0.122,0.091,0.1141,0.2688,0.2389,0.271,0.2445,0.2481,0.3691,0.6014,0.6133,0.4606,0.4742,0.4175
chr1,8098034,8148097,8119270,281,0.061,0.0752,0.1389,0.1173,0.1414,0.2234,0.2047,0.1916,0.1501,0.2373,0.3699,0.4024,0.3954,0.3008,0.2225,0.3125
chr1,8142162,8152458,8142873,23,0.0,0.1057,0.1576,0.0964,0.1322,0.2846,0.16,0.3515,0.2085,0.224,0.4501,0.5876,0.5171,0.4767,0.3608,0.2945
chr1,8167104,8201664,8184912,313,0.0417,0.122,0.1557,0.0816,0.146,0.226,0.1755,0.2225,0.1442,0.1942,0.2997,0.413,0.4821,0.2474,0.1843,0.2602
chr1,8199641,8244349,8219030,282,0.0329,0.0838,0.1446,0.1258,0.1124,0.2679,0.2396,0.2498,0.2218,0.1967,0.3358,0.5242,0.4959,0.3932,0.364,0.1951
chr1,8246951,8257121,8251595,14,0.0762,0.0,0.236,0.0,0.2424,0.4278,0.1905,0.1394,0.0,0.2094,0.7537,0.487,0.7306,0.2288,nan,0.3975
chr1,8315927,8326036,8321473,107,0.0887,0.1194,0.0953,0.0982,0.1439,0.2181,0.1837,0.1839,0.1585,0.1512,0.1726,0.4277,0.3359,0.28,0.1962,0.2286
chr1,8406068,8439444,8426033,452,0.0232,0.0893,0.1451,0.0934,0.1551,0.2009,0.1802,0.197,0.1718,0.1903,0.4897,0.431,0.5041,0.2709,0.3164,0.2451
chr1,8521984,8546327,8533033,356,0.064,0.082,0.1222,0.0886,0.1301,0.2428,0.2297,0.2144,0.2056,0.214,0.2993,0.4673,0.5092,0.3749,0.4255,0.3574
chr1,8698521,8756714,8731342,206,0.0352,0.0777,0.1344,0.0481,0.1108,0.2806,0.2133,0.2248,0.1594,0.1831,0.3442,0.5573,0.68,0.379,0.4556,0.3627
chr1,8824761,8910535,8878182,560,0.0604,0.0946,0.1429,0.084,0.1318,0.2147,0.1919,0.1997,0.1682,0.211,0.2766,0.3776,0.461,0.271,0.3198,0.3202
chr1,8902173,9099615,9004000,1724,0.061,0.1019,0.1331,0.0848,0.1609,0.2075,0.1652,0.2033,0.1806,0.1995,0.3471,0.383,0.3946,0.2847,0.3329,0.3118
chr1,9100878,9146521,9124793,137,0.0132,0.1062,0.1116,0.1005,0.1661,0.2383,0.2158,0.1901,0.1684,0.1719,0.4928,0.6059,0.5706,0.2889,0.2498,0.248
chr1,9141434,9151730,9145461,52,0.0562,0.0605,0.1028,0.1325,0.1496,0.2546,0.1967,0.2098,0.1278,0.1596,0.4602,0.5457,0.351,0.4611,0.1396,0.1558
chr1,9170815,9193641,9186335,72,0.0582,0.074,0.1244,0.0669,0.0906,0.2564,0.1107,0.2368,0.0864,0.2424,0.1677,0.4964,0.2867,0.4306,0.1075,0.458
chr1,9197583,9221480,9206539,49,0.0801,0.0649,0.1507,0.0594,0.1482,0.1862,0.1323,0.1656,0.127,0.1423,0.3631,0.2506,0.3259,0.2263,0.3563,0.166
chr1,9234776,9391058,9320919,763,0.0624,0.0891,0.1375,0.0571,0.205,0.2379,0.1778,0.2299,0.198,0.2207,0.4822,0.4296,0.5118,0.3597,0.4821,0.4154
chr1,9363569,9373672,9378102,190,0.0508,0.0466,0.1436,0.0586,0.2661,0.2349,0.2005,0.2276,0.2307,0.2095,0.7087,0.4358,0.5818,0.4317,0.6373,0.3758
chr1,9437592,9627954,9545899,1436,0.0719,0.1077,0.1588,0.11,0.1503,0.2673,0.2066,0.2575,0.1875,0.2474,0.2685,0.418,0.3943,0.3371,0.2756,0.3129
chr1,9520528,9530821,9572417,987,0.099,0.1282,0.1511,0.1182,0.1498,0.2578,0.2234,0.2641,0.2188,0.2426,0.148,0.3666,0.3551,0.327,0.2916,0.3008
chr1,9641057,9671489,9655452,262,0.0389,0.0814,0.1466,0.0917,0.179,0.2228,0.1592,0.2098,0.1647,0.2101,0.5187,0.4334,0.4177,0.3141,0.3205,0.2939
chr1,9668215,9700251,9684185,265,0.0555,0.0737,0.1228,0.0937,0.1456,0.2149,0.1892,0.2311,0.206,0.2114,0.4061,0.435,0.4387,0.4245,0.4309,0.3388
chr1,9699551,9721558,9711225,159,0.0362,0.155,0.0882,0.1202,0.1363,0.1307,0.1764,0.162,0.2093,0.1812,0.1886,0.3755,0.3811,0.1535,0.2187,0.2762
chr1,9713994,9882731,9809351,1425,0.0406,0.0777,0.1301,0.0932,0.1191,0.2415,0.2094,0.2428,0.2116,0.2268,0.3561,0.4996,0.5153,0.4218,0.4345,0.3578
chr1,9858956,9869237,9872096,426,0.0455,0.0697,0.1549,0.0782,0.0937,0.2559,0.2045,0.2707,0.2237,0.2309,0.2545,0.4586,0.5395,0.4347,0.5142,0.3518
chr1,10191228,10228393,10205722,357,0.0439,0.0976,0.1407,0.0839,0.1481,0.2093,0.1584,0.2032,0.15,0.1844,0.3735,0.4086,0.4272,0.2778,0.258,0.2599
chr1,10243382,10253485,10250312,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chr1,10257566,10280237,10271725,125,0.0408,0.1839,0.108,0.0864,0.1766,0.2389,0.1542,0.2551,0.2001,0.1805,0.2377,0.5466,0.4166,0.2896,0.2107,0.3148
chr1,10273814,10319519,10296688,273,0.047,0.0965,0.1365,0.0971,0.1252,0.2502,0.1918,0.2424,0.1802,0.2228,0.289,0.4852,0.4552,0.3709,0.3125,0.3293
chr1,10320459,10336188,10328599,125,0.0386,0.089,0.1289,0.0966,0.1086,0.2288,0.1428,0.2254,0.139,0.2101,0.2769,0.4858,0.356,0.3684,0.207,0.3173
chr1,10334288,10374382,10352078,256,0.0518,0.1011,0.1167,0.1016,0.1574,0.2673,0.247,0.2207,0.1958,0.1953,0.366,0.5425,0.5282,0.3589,0.3295,0.2961
chr1,10368742,10529253,10442511,1312,0.0396,0.0986,0.1301,0.1213,0.1289,0.2235,0.2086,0.2317,0.2182,0.2106,0.3211,0.4713,0.4393,0.359,0.3385,0.2635
chr1,10446385,10461844,10481952,587,0.0445,0.0965,0.1389,0.1066,0.1267,0.2215,0.2098,0.2345,0.2261,0.2175,0.3033,0.4357,0.4696,0.3513,0.3911,0.2932
chr1,10484537,10494644,10505958,274,0.0487,0.0903,0.1381,0.1051,0.1199,0.2221,0.2001,0.2271,0.211,0.229,0.2835,0.4291,0.4455,0.3504,0.3771,0.3221
chr1,10533248,10565729,10553389,176,0.1023,0.0795,0.1443,0.0598,0.1158,0.2374,0.2096,0.2114,0.1867,0.1946,0.1301,0.3352,0.4649,0.3266,0.4751,0.3371
chr1,10903208,10915544,10909218,142,0.0753,0.0582,0.1816,0.07,0.1323,0.2112,0.1271,0.1971,0.1396,0.2055,0.3487,0.26,0.2844,0.2599,0.3803,0.263
chr1,10909500,10928293,10918003,139,0.0556,0.0606,0.1482,0.0892,0.1646,0.2141,0.1552,0.2117,0.1764,0.1874,0.5001,0.3753,0.3687,0.3593,0.4105,0.2404
chr1,10924780,10941004,10935727,151,0.0983,0.0747,0.1414,0.0941,0.1482,0.2025,0.1781,0.1721,0.1484,0.1787,0.28,0.2732,0.3106,0.2441,0.2824,0.2194
chr1,10931908,10947201,10938584,203,0.0773,0.0814,0.1476,0.083,0.1302,0.1947,0.1627,0.1714,0.1389,0.1826,0.2589,0.285,0.3508,0.2132,0.2665,0.2428
chr1,10991747,11017282,11005995,235,0.1085,0.1075,0.1382,0.0708,0.1642,0.2571,0.1759,0.2078,0.1441,0.2032,0.2211,0.3716,0.3434,0.2739,0.251,0.343
